tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,izmir-aliaga,2021,1,1,5.0,0.0,55.04583333333333,24.7,97.1,73.02083333333333,0.0,338.4,85.99166666666667,75.7,91.8,167.20416666666668,127.2,193.7,4.266666666666667,1.8,6.4,1.0,1.0,1.0,-0.6541666666666667,-3.0000000000000018,0.40000000000000036,0.20688273828776405,-0.2368381460656188,0.7965299180241964,0.6271699585802465,-1.0657716572952844,1.8320188114556515,-4.085335950927812,-6.233446190585931,-1.2344730352692772,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,izmir-aliaga,2021,1,2,13.0,0.0,36.125,14.3,61.0,92.85833333333333,0.0,401.7,82.1375,63.6,93.7,106.64999999999999,92.9,124.3,2.891666666666667,2.1,4.0,1.0,1.0,1.0,-0.775,-3.400000000000002,0.1999999999999993,0.9478222371381667,0.8260982944957639,0.9987193571841861,2.748098702221881,1.7348064184411043,3.9355401517341666,-0.8042183705670154,-1.3573041279353482,-0.1282019330231997,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-aliaga,2021,1,3,4.0,0.0,64.87083333333334,21.9,100.0,39.266666666666666,0.0,176.1,79.12083333333334,73.0,84.6,122.52083333333333,111.4,148.0,3.4375,2.7,4.1,8.429166666666667,1.0,50.6,-0.2124999999999999,-1.5,0.3000000000000007,0.8333009758108684,0.5299192642332049,0.9310558158625283,2.8690928930927098,1.4307820134296534,3.568342704614317,-1.8216165760922467,-2.666039113217222,-1.1388626006122402,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-aliaga,2021,1,4,9.0,0.0,47.78333333333333,21.4,81.2,78.94583333333334,0.0,367.1,70.3125,59.3,84.1,123.40833333333335,100.6,160.3,4.608333333333333,2.9,6.6,1.2750000000000001,1.0,3.3,-0.041666666666666595,-2.400000000000002,1.6999999999999993,0.7883882222631092,0.33709525842308213,0.9829353491495543,3.490932172337335,2.191119179750034,4.780138146408647,-2.515011560552464,-6.119558541278247,-0.7542005375121525,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-aliaga,2021,1,5,2.0,0.0,30.379166666666666,0.8,99.8,95.71666666666665,0.0,409.0,75.22083333333333,55.6,95.2,195.72083333333333,159.4,277.9,3.9916666666666667,1.2,7.8,10.720833333333333,1.0,94.9,-0.5249999999999998,-3.0,0.8000000000000007,-0.18466792381776445,-0.9953961983671787,0.3518416484047018,-0.391763594191676,-3.2856786696925195,2.1705198684746505,-3.473698148454431,-7.2770375716388145,0.2748890920742918,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-aliaga,2021,1,6,2.0,0.0,49.50416666666666,5.2,79.2,90.38333333333333,0.0,392.8,73.775,57.9,81.7,147.91666666666666,122.4,190.3,3.545833333333333,2.6,4.5,1.0,1.0,1.0,-0.47083333333333327,-2.9999999999999982,0.5999999999999996,0.5065858641380742,-0.17880221511634942,0.8443279255020152,1.8139156397417013,-0.8046099680235723,3.5303797346818744,-2.8176759695141147,-4.427482670700938,-2.089724500418086,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-aliaga,2021,1,7,3.0,2.0,48.12083333333334,13.5,78.6,77.95416666666667,0.0,353.6,75.27916666666667,62.8,82.8,155.14583333333334,136.2,180.6,4.125,3.2,5.1,3.3625000000000003,1.0,33.6,-0.3333333333333333,-2.1999999999999993,0.3000000000000007,0.4094084120599635,-0.010471784116245463,0.6921431738704071,1.6149579700419563,-0.05131174216960277,2.90700133025571,-3.6550147175250296,-5.097196101302961,-2.801653879878471,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-aliaga,2021,1,8,5.0,1.0,45.67083333333333,9.2,84.5,100.75,0.0,441.8,77.97500000000001,64.3,88.3,167.82916666666668,152.7,189.1,5.6625000000000005,4.1,7.5,1.0,1.0,1.0,-0.44166666666666704,-3.1000000000000014,0.8000000000000007,0.2065453227043713,-0.1581580672544833,0.45864955448431516,1.0044549409373735,-1.0596590506050383,2.1641514400213406,-5.445527177056094,-7.491674062214775,-3.6433306538852896,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-aliaga,2021,1,9,8.0,0.0,62.21666666666667,14.0,98.4,56.35833333333334,0.0,292.3,81.99583333333334,76.6,85.9,170.46666666666667,166.3,182.0,6.5249999999999995,5.7,7.6,3.0541666666666667,1.0,35.4,-0.21666666666666665,-2.5,0.6000000000000014,0.16535024552888403,-0.0348994967025009,0.2368381460656186,1.0862298481818853,-0.20590703054475532,1.6695090030283892,-6.421632233683732,-7.512553539745995,-5.672796179896438,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-aliaga,2021,1,10,8.0,0.0,58.975,29.2,98.0,86.99166666666667,0.0,368.1,75.83333333333333,68.7,80.6,172.52916666666667,162.9,184.3,6.7375,4.9,8.3,5.933333333333334,1.0,47.7,-0.17083333333333303,-2.8999999999999986,0.8000000000000007,0.12940692659006414,-0.0749787268263278,0.2940403252323037,0.8118892726598402,-0.5623404511974585,1.5878177562544402,-6.657569792611383,-8.269665958384524,-4.768576476607732,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2021-01-11,izmir-aliaga,2021,1,11,2.0,1.0,61.35833333333333,47.1,95.7,87.89583333333333,0.0,411.7,67.39583333333333,58.7,74.7,179.02916666666667,173.4,185.1,8.279166666666667,6.4,9.8,7.258333333333333,1.0,41.6,0.5833333333333331,-2.200000000000003,1.7999999999999972,0.016914997927503735,-0.0888942968664412,0.11493715049286667,0.11643540619472176,-0.6578177968116649,0.9080034888936467,-8.263917185701656,-9.799044735291183,-6.36945535988372,0,1,11,2,0,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,0.7431448254773945,-0.6691306063588579,1.0,6.123233995736766e-17
2021-01-12,izmir-aliaga,2021,1,12,14.0,0.0,65.45,26.4,99.2,60.583333333333336,0.0,242.6,67.54166666666667,50.2,91.0,176.61249999999998,169.9,185.9,7.716666666666666,6.7,9.3,9.679166666666667,1.0,72.0,0.9416666666666668,0.0,2.0,0.05898596014728896,-0.10279253678724651,0.17536672609198692,0.4835649545354,-0.6989892501532763,1.5829483422441042,-7.687285712787869,-9.164293455896459,-6.695500238316997,0,1,12,2,1,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2021-01-13,izmir-aliaga,2021,1,13,9.0,0.0,67.18333333333334,31.4,99.9,97.55416666666667,0.0,407.5,77.39166666666667,58.9,91.1,270.65416666666664,2.6,342.0,2.7291666666666665,0.9,7.4,9.6625,1.0,95.0,-0.8416666666666665,-4.099999999999998,0.8000000000000007,-0.679040528632946,-0.9996573249755573,0.49242356010346705,-1.8263002152673884,-5.298183822370453,0.8863624081862407,0.5078099219220593,-7.302732301410374,1.9979411395814295,0,1,13,2,2,0.49999999999999994,0.8660254037844387,0.2219215130041655,0.9750645322571948,0.40673664307580004,-0.913545457642601,1.0,6.123233995736766e-17
2021-01-14,izmir-aliaga,2021,1,14,1.0,1.0,52.69583333333333,1.3,87.9,96.99166666666667,0.0,459.9,73.56666666666666,50.9,93.6,88.1875,10.0,310.5,3.5208333333333335,1.1,6.5,2.3375,1.0,14.1,0.5875,-4.300000000000001,3.5,0.4147712123656369,-0.9163627295622396,0.9310558158625283,1.8360466710189733,-2.749088188686719,5.426511111212142,2.1642832825222915,-1.021654996145335,3.888286337467008,0,1,14,2,3,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505,0.20791169081775931,-0.9781476007338057,1.0,6.123233995736766e-17
2021-01-15,izmir-aliaga,2021,1,15,1.0,0.0,46.5375,0.0,100.0,119.34583333333335,0.0,491.4,70.35000000000001,48.6,95.2,62.11666666666667,12.3,137.5,5.079166666666667,2.9,7.2,16.633333333333333,1.0,95.0,2.0833333333333335,-2.200000000000001,4.2,0.7180632051504149,0.21303038627497659,0.9483236552061994,3.6428843483011093,1.0225458541198875,5.854325479538599,2.3563689449550638,-3.4652034830075826,4.711087594568413,0,1,15,2,4,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775,5.66553889764798e-16,-1.0,1.0,6.123233995736766e-17
2021-01-16,izmir-aliaga,2021,1,16,9.0,0.0,76.82916666666667,35.4,100.0,22.433333333333334,0.0,124.4,80.52083333333333,70.4,94.4,47.074999999999996,26.0,65.1,5.1000000000000005,4.2,6.2,19.787499999999998,1.0,95.0,3.8874999999999997,2.5,4.7,0.7181714216480365,0.4383711467890774,0.9070440142914649,3.6123487591712564,2.085988119807312,4.54030043201004,3.4635709966451738,1.852557578816961,5.213005468535169,0,1,16,2,5,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486,-0.20791169081775907,-0.9781476007338057,1.0,6.123233995736766e-17
2021-01-17,izmir-aliaga,2021,1,17,4.0,0.0,73.3,32.9,99.6,103.55833333333334,0.0,437.5,72.22500000000001,57.0,83.8,44.729166666666664,21.2,59.2,5.483333333333333,4.0,6.5,1.0,1.0,1.0,3.233333333333334,-0.7999999999999998,5.1,0.6903963779643324,0.36162457008209226,0.8589598969306643,3.882699075083151,1.446498280328369,5.301517926255428,3.7353995904506263,2.8900940808974727,4.521792225669056,0,1,17,2,6,0.49999999999999994,0.8660254037844387,0.288482432880609,0.9574851883550393,-0.4067366430758002,-0.9135454576426009,1.0,6.123233995736766e-17
2021-01-18,izmir-aliaga,2021,1,18,2.0,0.0,35.387499999999996,0.0,99.3,129.94166666666666,0.0,533.4,64.38333333333334,39.9,80.2,51.55416666666667,29.3,64.8,5.720833333333334,4.5,7.0,1.0,1.0,1.0,3.391666666666667,-2.0999999999999996,5.5,0.7701440130767229,0.48938245174884626,0.9048270524660195,4.422675754083543,2.349035768394462,5.796422342357461,3.4747927878765914,2.4971621867045823,5.312078624610352,0,1,18,3,0,0.49999999999999994,0.8660254037844387,0.30492122465628907,0.9523775757303974,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17
2021-01-19,izmir-aliaga,2021,1,19,1.0,3.0,11.879166666666668,0.0,47.0,127.3,0.0,527.0,60.98333333333333,39.9,74.0,47.425000000000004,33.1,57.5,4.958333333333333,4.0,5.8,1.0,1.0,1.0,3.029166666666667,-1.7000000000000002,5.3999999999999995,0.7320788649434249,0.5461019610144291,0.8433914458128856,3.6255179295352864,2.8918685836382725,4.774190937499762,3.336908792617985,2.4178482375607073,4.439909198088325,0,1,19,3,1,0.49999999999999994,0.8660254037844387,0.3212696616923644,0.9469877530760753,-0.743144825477394,-0.6691306063588585,1.0,6.123233995736766e-17
2021-01-20,izmir-aliaga,2021,1,20,3.0,1.0,13.1625,0.0,79.5,127.82916666666667,0.0,519.6,59.69166666666666,37.7,77.7,95.35833333333333,47.9,161.0,3.3958333333333335,1.2,4.8,1.0,1.0,1.0,1.6708333333333334,-4.5,4.5,0.8240409135245829,0.32556815445715703,0.9835714708133859,2.8361448602622326,0.39068178534858844,4.102733763168105,-0.042768255250506565,-2.7221035844651498,3.0917934228546557,0,1,20,3,2,0.49999999999999994,0.8660254037844387,0.3375228995941133,0.9413173175128471,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2021-01-21,izmir-aliaga,2021,1,21,8.0,2.0,48.78333333333333,13.7,83.5,81.75833333333334,0.0,357.9,59.025,48.0,67.3,125.96249999999999,113.6,141.2,4.341666666666667,2.9,5.2,1.0,1.0,1.0,1.9166666666666667,-3.3000000000000007,4.1000000000000005,0.7963638208795482,0.6266038113644606,0.9163627295622396,3.521804952011881,1.8171510529569357,4.673449920767422,-2.423376997787329,-3.2267907990927975,-1.9293493279486085,0,1,21,3,3,0.49999999999999994,0.8660254037844387,0.3536761221763716,0.9353679493131483,-0.9510565162951535,-0.30901699437494756,1.0,6.123233995736766e-17
2021-01-22,izmir-aliaga,2021,1,22,2.0,0.0,50.80833333333334,4.8,95.4,85.26666666666667,0.0,329.1,73.97500000000001,68.7,82.8,148.1875,135.4,163.0,4.95,4.4,5.7,1.0,1.0,1.0,0.6125000000000002,-2.8000000000000007,2.9000000000000004,0.5203302451326387,0.29237170472273705,0.7021530529951622,2.5622203874479745,1.4702016261615185,3.76200950737734,-4.15854687731395,-5.057473741136267,-3.204117206959485,0,1,22,3,4,0.49999999999999994,0.8660254037844387,0.3697245428906731,0.9291414114031743,-0.9945218953682733,-0.10452846326765423,1.0,6.123233995736766e-17
