tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-02,izmir-balcova,2021,1,2,5.0,0.0,31.620833333333334,12.5,57.8,88.30833333333334,0.0,362.6,80.3625,70.1,89.0,139.45416666666668,132.2,145.0,2.4916666666666667,1.9,3.4,1.0,1.0,1.0,-0.8541666666666664,-3.1999999999999993,0.0,0.6488188296305321,0.5735764363510464,0.7408045962867501,1.6111221286517299,1.1528646323395866,2.1397513474625445,-1.894677661165285,-2.657169606223984,-1.276269119713681,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-balcova,2021,1,3,2.0,0.0,72.52083333333333,13.2,100.0,32.19166666666667,0.0,146.6,78.47916666666667,68.5,84.3,147.83333333333334,137.2,169.0,3.0083333333333333,2.1,3.7,3.9166666666666665,1.0,52.7,-0.20000000000000004,-1.4000000000000004,0.3000000000000007,0.5287018479988274,0.19080899537654497,0.6794413042615167,1.6147270648059495,0.40069889029074446,2.513932825767612,-2.5139824278580796,-2.966854279039256,-2.048827959377477,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-balcova,2021,1,4,1.0,0.0,46.895833333333336,9.9,93.2,76.60833333333333,0.0,335.9,70.69166666666666,59.8,79.6,144.0375,136.3,156.0,4.641666666666667,2.5,7.0,1.0,1.0,1.0,-0.004166666666666726,-2.6000000000000014,1.4000000000000021,0.5851341499078381,0.40673664307580043,0.6908824110768581,2.694799155866869,1.4160614910390699,4.283470948676521,-3.75414676338086,-5.938045474676905,-1.8636899992071554,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-balcova,2021,1,5,0.0,0.0,35.47083333333333,4.1,100.0,90.375,0.0,366.2,80.92916666666666,60.7,97.7,174.69583333333333,142.1,240.2,2.8000000000000003,1.6,6.6,10.85,1.0,95.0,-0.8750000000000003,-3.6999999999999993,0.7999999999999989,0.09613888097931834,-0.8677654533689281,0.6142852000989434,0.3556281206016025,-2.6032963601067842,3.161227946139078,-2.4515095029284573,-6.157720134002404,-1.4295883269018763,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-balcova,2021,1,6,0.0,0.0,56.88333333333333,4.4,88.0,86.43333333333334,0.0,372.5,78.45,66.9,86.8,146.68333333333334,134.6,154.7,2.766666666666667,1.6,3.8,1.0,1.0,1.0,-0.7125,-3.0,0.09999999999999964,0.5470943248386294,0.42735786338719256,0.7120260459909965,1.5026519535276242,1.0020333965451782,2.174154319092963,-2.311961727183097,-3.116577128320333,-1.1625194735535611,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-balcova,2021,1,7,7.0,3.0,46.00416666666666,2.5,92.6,78.12916666666666,0.0,350.1,80.41666666666667,69.7,87.0,145.40416666666667,132.9,179.7,3.170833333333333,2.5,4.1,1.45,1.0,7.1,-0.6708333333333331,-3.099999999999998,0.09999999999999964,0.5562623855352851,0.005235963831420265,0.7325428987873788,1.762532305327719,0.01937306617625498,2.728687028002126,-2.5377080864789714,-3.8041286409855717,-1.9913247950604913,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-balcova,2021,1,8,2.0,0.0,36.52916666666667,9.4,66.9,98.47083333333335,0.0,403.4,84.27916666666667,67.9,92.0,152.24583333333334,142.6,173.7,4.716666666666667,3.2,6.1,1.0,1.0,1.0,-0.8083333333333332,-3.3999999999999986,0.09999999999999964,0.4595922402639534,0.10973431109104521,0.6073758397232866,2.091214981794523,0.6035387110007486,3.0852517418336345,-4.151409659337246,-5.79814596292948,-2.5421267857133385,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-balcova,2021,1,9,2.0,0.0,64.07083333333334,27.4,98.4,42.94583333333333,0.0,195.0,86.30416666666667,82.3,91.4,151.4125,145.9,159.8,5.983333333333333,5.1,7.4,1.2166666666666666,1.0,6.2,-0.31249999999999994,-1.8000000000000007,0.3000000000000007,0.4775803599833092,0.3452981989985346,0.5606389945632417,2.8440724148043883,1.7610208148925264,3.2854994382458704,-5.250856521221672,-6.8707951189187595,-4.38871977349922,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-balcova,2021,1,10,0.0,0.0,46.708333333333336,25.9,89.4,85.24166666666666,0.0,353.2,82.28750000000001,76.3,85.0,149.49166666666667,141.4,159.5,5.541666666666667,4.2,7.1,2.5875,1.0,34.3,-0.6916666666666669,-3.5,0.3000000000000007,0.5063969801915252,0.35020738125946754,0.6238795967093862,2.8016630078953475,1.6809954300454442,3.331007605807511,-4.765913342221418,-6.342936857127646,-3.5540112977357694,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2021-01-11,izmir-balcova,2021,1,11,0.0,0.0,56.07083333333333,20.5,93.7,94.16250000000001,0.0,416.8,74.58333333333333,66.7,83.0,154.88750000000002,150.5,159.3,7.3125,6.3,7.9,3.7624999999999997,1.0,44.2,-0.06250000000000044,-2.8000000000000007,1.1000000000000014,0.42390848542470777,0.353474843779257,0.49242356010346716,3.102937314616573,2.4036289376989473,3.8901461248173907,-6.612304557024111,-6.921195822126945,-5.541786009059683,0,1,11,2,0,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,0.7431448254773945,-0.6691306063588579,1.0,6.123233995736766e-17
