tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,izmir-bayindir,2021,1,1,3.0,0.0,66.0,35.3,94.5,63.30416666666667,0.0,248.8,89.24583333333334,83.5,94.4,58.48333333333333,35.1,155.5,1.6666666666666667,0.5,2.3,1.0,1.0,1.0,-0.7000000000000002,-3.3999999999999986,1.0,0.7175523709126638,0.4146932426562392,0.9999451693655121,1.1879138438000647,0.37563206675175553,1.7223189393349216,0.947919033013778,-1.0009573979641975,1.7977187763372828,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,izmir-bayindir,2021,1,2,2.0,1.0,32.425000000000004,1.6,54.3,103.10000000000001,0.0,434.6,75.39583333333333,57.4,86.7,61.5875,38.0,90.3,1.6916666666666667,0.9,2.6,1.0,1.0,1.0,-0.7916666666666666,-3.8999999999999986,0.9000000000000004,0.8553862367539026,0.6156614753256582,0.9999862922474267,1.460447984640316,0.7615738495148077,2.3807227426828588,0.7729890750295159,-0.006283156597703297,1.1743050972885682,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-bayindir,2021,1,3,4.0,3.0,60.925000000000004,4.9,99.7,44.90416666666667,0.0,244.6,67.72083333333333,58.4,75.8,59.791666666666664,42.8,112.4,1.6041666666666667,0.7,2.2,2.2291666666666665,1.0,21.2,-0.2541666666666666,-2.1000000000000014,0.8000000000000007,0.8371187421640268,0.6794413042615165,0.9957246981845821,1.3441078214304756,0.5435530434092132,2.000319439903551,0.8205451064168982,-0.2667492634451919,1.293369651021944,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-bayindir,2021,1,4,2.0,0.0,40.4375,0.2,98.3,90.75833333333333,0.0,428.0,66.31666666666666,51.6,74.7,64.29166666666667,49.9,83.7,1.875,0.9,2.6,1.1624999999999999,1.0,3.0,-0.5458333333333335,-3.1000000000000014,0.1999999999999993,0.8868942980260525,0.7649214009184317,0.9939609554551797,1.6680202099060812,0.839091421093961,2.5628290196310193,0.7935028911049621,0.12070774220014992,1.1614059114218798,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-bayindir,2021,1,5,5.0,0.0,53.55416666666667,15.7,100.0,85.27083333333333,0.0,366.0,82.11666666666666,60.1,97.6,133.87916666666666,45.3,327.8,1.2916666666666667,0.2,2.4,9.066666666666666,1.0,95.0,-1.0625,-4.500000000000002,0.0,0.3274385182643696,-0.9999451693655121,0.9998157121216442,0.5041348505658658,-2.0150876748825914,2.1443447427956777,0.23104030951608615,-1.4618591545891007,1.2450292732752393,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-bayindir,2021,1,6,10.0,0.0,50.63333333333333,1.8,68.2,97.11666666666667,0.0,407.1,73.60416666666667,58.7,85.2,60.90416666666667,32.7,123.9,1.5041666666666667,0.2,2.2,1.0,1.0,1.0,-0.625,-3.900000000000002,1.1000000000000005,0.8237717813392865,0.540240320477655,0.9958843986159703,1.2379230076188452,0.1660024570190735,2.0946846640327053,0.784699204920932,-0.11154902179593802,1.3470442262952316,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-bayindir,2021,1,7,6.0,5.0,68.14999999999999,26.2,99.6,84.41666666666667,0.0,381.7,77.58333333333333,63.8,88.1,86.04166666666667,43.4,211.3,1.4583333333333333,0.3,2.2,1.075,1.0,2.8,-0.9666666666666667,-4.699999999999999,0.09999999999999964,0.6382285351691307,-0.519519111879509,0.9743700647852352,0.9152117119806916,-1.14294204613492,1.880994696502767,0.4005421557830972,-1.879809426292177,1.235176940650659,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-bayindir,2021,1,8,17.0,1.0,40.52916666666667,12.7,53.0,97.78333333333335,0.0,383.1,82.35833333333333,64.5,95.0,117.72916666666667,44.9,287.7,1.7916666666666667,0.5,3.5,1.0,1.0,1.0,-1.0374999999999999,-3.8000000000000007,0.8000000000000007,0.27880089561318416,-0.9663760793213293,0.9996101150403544,0.3306475076593024,-1.8026332621851895,1.5331084814574856,-0.041742933393835106,-3.163419731138884,1.3716367058547523,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-bayindir,2021,1,9,6.0,0.0,79.47083333333333,21.3,100.0,46.458333333333336,0.0,224.1,90.02083333333333,84.5,95.1,66.24583333333334,20.4,358.3,1.2791666666666666,0.0,2.5,1.0,1.0,1.0,-1.25,-3.5999999999999996,-0.09999999999999964,0.5669204496124626,-0.7009092642998508,0.9472102777460288,0.7593305185797977,-0.5607274114398807,1.4375131301081965,0.9602270880056366,0.0,2.045374293562559,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-bayindir,2021,1,10,8.0,0.0,47.75,10.3,80.5,96.95833333333333,0.0,421.7,86.25416666666666,64.2,96.2,62.50833333333333,34.6,176.4,1.7291666666666667,1.2,2.3,1.7249999999999999,1.0,13.0,-1.5250000000000004,-4.600000000000001,-0.3000000000000007,0.7014768661413392,0.06279051952931358,0.9900236577165576,1.2102303079772039,0.10674388319983309,1.9483804191789154,0.854533881920878,-1.6966454383280616,1.7775777445756673,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
