tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,izmir-bergama,2021,1,1,2.0,0.0,63.00416666666666,29.2,97.0,64.45833333333333,0.0,303.2,87.28333333333335,72.0,93.7,186.41666666666666,5.9,291.6,1.6958333333333335,0.5,3.0,1.0,1.0,1.0,-0.7416666666666667,-3.200000000000001,0.5999999999999996,-0.5464895313815904,-0.9297764858882512,0.39233711660356146,-0.9847876490177744,-1.889633672919098,0.6277393865656984,-0.7552781357146708,-2.668249119873893,1.5721804744697845,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,izmir-bergama,2021,1,2,14.0,0.0,40.27916666666667,16.5,59.7,92.05,0.0,408.4,83.2375,60.9,96.2,28.82083333333333,6.6,53.0,1.6833333333333333,0.7,2.5,1.0,1.0,1.0,-0.5125000000000002,-3.6999999999999993,1.0,0.4717035040248736,0.1149371504928666,0.7986355100472928,0.7837216338756371,0.1953931558378732,1.4797318409235487,1.4563113288630944,0.42127051620643385,2.099049661336033,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-bergama,2021,1,3,8.0,0.0,58.39166666666667,9.6,100.0,38.63333333333333,0.0,168.6,83.14999999999999,71.0,93.3,36.00416666666667,4.5,341.1,1.7916666666666667,1.0,2.1,7.95,1.0,76.9,0.062499999999999965,-1.9000000000000004,1.2000000000000002,0.35234601530982435,-0.32391741819814873,0.6639262126522416,0.6533403315773612,-0.48587612729722307,1.1773418885828077,1.6303375731920309,0.996917333733128,1.969566762684985,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-bergama,2021,1,4,13.0,2.0,47.24166666666667,17.8,76.2,87.12916666666666,0.0,405.0,74.44583333333334,55.7,89.3,33.920833333333334,2.1,69.3,1.7208333333333332,0.5,2.5,3.783333333333333,1.0,38.0,-0.24166666666666695,-3.4000000000000004,1.2999999999999998,0.5324533406693307,0.036643708706556276,0.9354440308298673,1.002878943509422,0.051301192189178786,2.14784246784486,1.3087580697497578,0.4159770610652413,2.075030712738419,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-bergama,2021,1,5,10.0,1.0,38.02916666666667,9.5,99.9,91.04583333333333,0.0,359.1,79.74166666666666,53.6,95.0,238.07916666666665,198.3,332.1,2.058333333333333,0.2,4.0,11.795833333333334,1.0,81.9,-0.670833333333333,-2.9999999999999982,1.0,-0.7602946218595236,-0.999925369660452,-0.31399245596740494,-1.5306522391338488,-3.127073451977489,-0.17542923274111777,-1.2238531177101664,-2.8773592013546043,0.9721421930975628,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-bergama,2021,1,6,6.0,0.0,48.887499999999996,5.5,90.9,85.91666666666667,0.0,372.0,78.36666666666666,60.4,91.2,105.0125,8.3,300.8,1.3875,0.3,2.8,1.4291666666666665,1.0,11.3,-0.5499999999999999,-4.000000000000002,1.0,0.06996306600259503,-0.8589598969306643,0.9360595357389733,0.07372597326388447,-1.2885593973947842,0.945702546350518,0.0648019257936258,-2.4858830783819235,1.906381335585894,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-bergama,2021,1,7,10.0,2.0,55.4125,6.8,85.5,71.27916666666667,0.0,293.2,77.33333333333333,61.4,87.2,201.79166666666666,90.9,315.3,1.5583333333333333,0.0,4.9,2.6416666666666666,1.0,28.4,-0.6291666666666672,-2.9000000000000004,0.0,-0.321602201203577,-0.825113498278295,0.9998766324816606,-0.7665538302235185,-3.266009104222318,0.6859472932345807,-1.1819499608238115,-3.8182727081034997,0.28431978954919684,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-bergama,2021,1,8,3.0,0.0,48.574999999999996,1.6,89.3,102.19583333333333,0.0,449.1,77.60000000000001,59.0,89.9,228.4416666666667,171.5,263.6,1.9416666666666667,0.4,5.4,1.0,1.0,1.0,-0.9,-3.5,0.09999999999999964,-0.6855598139827119,-0.9937679191605965,0.14780941112961038,-1.3231952073071247,-3.050821818494666,0.06439779828878144,-1.2576517396767426,-4.455612890702793,-0.04458757288252997,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-bergama,2021,1,9,1.0,0.0,76.37916666666666,15.3,100.0,37.3375,0.0,173.0,87.175,80.8,90.5,237.17916666666667,204.7,280.1,1.7791666666666668,0.9,3.4,1.2125000000000001,1.0,6.1,-0.8874999999999998,-2.400000000000002,-0.09999999999999964,-0.7747438267765121,-0.9983418166140283,-0.4178670738010769,-1.273270803910065,-2.1061028945705482,-0.6386136628828687,-1.0378676007080725,-3.061083822767458,0.19290339870118628,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-bergama,2021,1,10,8.0,0.0,68.8,46.2,99.1,65.6625,0.0,269.8,85.37083333333334,71.0,94.0,251.77083333333334,167.3,298.6,1.3791666666666667,0.6,3.3,6.070833333333333,1.0,47.1,-1.3916666666666668,-2.8999999999999986,-0.5,-0.8272016252194475,-0.998806137341434,0.2198462043528376,-1.0746985860477662,-2.3738213411175475,0.28580006565868893,-0.5392563025053695,-2.3579922070363803,0.38295348635248533,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
