tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-02,izmir-beydag,2021,1,2,4.0,0.0,27.083333333333332,2.9,52.9,104.45416666666667,0.0,453.9,79.0125,49.0,97.7,128.52083333333334,114.4,145.4,1.0833333333333333,0.3,1.7,1.0,1.0,1.0,-0.9041666666666669,-3.9000000000000004,0.29999999999999893,0.776258042919856,0.5678437450531015,0.910683660806177,0.8330749172345916,0.26801141649835125,1.3908545196225404,-0.6807556550312085,-1.0700772790947743,-0.13479569958476892,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-beydag,2021,1,3,2.0,1.0,52.55416666666667,0.0,99.2,59.45416666666667,0.0,298.3,70.97500000000001,51.2,89.2,119.72500000000001,23.0,348.2,1.05,0.4,1.8,1.1916666666666667,1.0,5.6,-0.4625000000000001,-2.6999999999999993,0.6999999999999993,0.7518338118586723,-0.20449605184179107,0.9943379441332046,0.8118417576232813,-0.10224802592089553,1.439432385276763,-0.44007590102571853,-1.2453229279385436,0.5917048759828878,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-beydag,2021,1,4,1.0,1.0,41.012499999999996,0.1,94.3,91.00833333333333,0.0,446.0,74.6875,48.7,90.3,131.17916666666667,116.6,142.7,1.6791666666666665,1.2,2.2,1.1916666666666667,1.0,5.6,-0.3083333333333332,-3.3000000000000007,1.0999999999999996,0.7468241304972011,0.605988400265711,0.8941542368393682,1.2445787940567958,0.9806512858447629,1.4576137884490694,-1.1093770711296975,-1.7500416578807712,-0.5373109054065235,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-beydag,2021,1,5,2.0,0.0,54.09166666666667,13.9,100.0,92.44166666666666,0.0,403.3,79.44166666666666,58.4,96.6,156.98333333333332,11.8,342.1,0.9416666666666668,0.2,1.8,4.3625,1.0,44.8,-1.0791666666666666,-4.1,0.09999999999999964,0.28464585007035653,-0.999194395114446,0.9727758782093965,0.37386148048289236,-0.9853790509604446,1.534752295837366,-0.3146990013310016,-1.1701792251666758,0.6852071721331795,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-beydag,2021,1,6,1.0,0.0,50.67916666666667,5.7,81.6,105.30833333333334,0.0,479.2,76.83333333333333,50.6,97.8,126.7625,105.2,167.8,0.8833333333333333,0.3,1.6,1.0,1.0,1.0,-0.9708333333333335,-4.5,0.8999999999999995,0.7792612291082609,0.2113247964553884,0.9650164944723115,0.7032850847423795,0.06339743893661652,1.3131967905000268,-0.5098505995243677,-0.9673585837797998,-0.09071096722513332,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-beydag,2021,1,7,4.0,0.0,84.43333333333334,42.8,98.5,56.0,0.0,244.1,80.15833333333333,68.6,94.5,113.28750000000001,5.3,162.0,0.7916666666666666,0.1,1.3,1.0,1.0,1.0,-1.0333333333333334,-3.5000000000000018,0.0,0.7991603065128728,0.09237058744656157,0.9987193571841861,0.6459499900325368,0.02771117623396847,1.1829496521395064,-0.37341214824446634,-0.8750208289403856,0.2987174094553746,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-beydag,2021,1,8,3.0,0.0,55.77916666666667,20.9,97.1,94.48333333333333,0.0,407.8,85.60833333333333,65.5,96.5,144.17499999999998,113.7,213.9,1.2291666666666667,0.8,1.9,1.0,1.0,1.0,-1.2999999999999998,-4.300000000000001,-0.29999999999999893,0.5363650015123006,-0.5577451089796901,0.9156625933395611,0.5670244459704801,-1.0597157070614112,1.0555782874399398,-0.884595046221402,-1.7986335942198228,-0.4019477766559601,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-beydag,2021,1,9,0.0,0.0,69.95833333333333,22.2,98.7,49.012499999999996,0.0,214.6,94.22083333333335,80.9,100.0,133.6625,113.9,165.6,1.2625,0.8,1.6,1.1333333333333333,1.0,4.2,-1.2916666666666667,-3.1000000000000014,-0.20000000000000107,0.7119843131445687,0.24868988716485482,0.9142539552342638,0.9011922770999172,0.3232968533143113,1.462806328374822,-0.8528978236176349,-1.2591581094672204,-0.49190764060988734,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-beydag,2021,1,10,2.0,0.0,42.94166666666666,7.5,81.7,87.16250000000001,0.0,392.1,90.16666666666667,66.9,99.9,135.88750000000002,117.7,173.0,1.2625,0.5,1.7,1.2833333333333334,1.0,7.8,-1.7041666666666666,-4.600000000000001,-0.5,0.6824586135466567,0.12186934340514755,0.8853936257544158,0.8863322009247111,0.06093467170257377,1.239551076056182,-0.8708155769098865,-1.241275870255279,-0.496273075820661,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2021-01-11,izmir-beydag,2021,1,11,2.0,0.0,46.7125,5.2,77.0,86.20833333333333,0.0,385.2,83.21249999999999,59.9,95.9,139.67916666666667,130.4,167.4,1.8583333333333334,1.4,2.8,2.9375,1.0,21.0,-1.2625000000000002,-3.1000000000000014,-0.5,0.6411058709465632,0.21814324139654276,0.7615383075367367,1.1740004129426265,0.37084351037412266,1.6701907118215538,-1.4154488886704204,-2.3588667116200135,-0.9276680675020326,0,1,11,2,0,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,0.7431448254773945,-0.6691306063588579,1.0,6.123233995736766e-17
