tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,izmir-gaziemir,2021,1,1,1.0,1.0,67.73333333333333,30.0,93.9,63.55416666666667,0.0,252.3,90.52499999999999,82.6,95.5,142.50416666666666,128.0,157.0,2.504166666666667,1.9,3.0,1.1166666666666667,1.0,3.8,-0.6041666666666669,-2.700000000000001,1.0,0.6030205090632331,0.39073112848927416,0.788010753606722,1.501437557141691,1.0120675282423275,1.986798062302258,-1.9751461880020749,-2.7615145603573206,-1.3187224210636095,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,izmir-gaziemir,2021,1,2,5.0,0.0,31.662499999999998,13.0,58.1,92.83333333333333,0.0,372.4,81.11666666666666,65.2,93.7,138.16666666666666,129.7,145.3,2.1041666666666665,1.6,3.1,1.0,1.0,1.0,-0.4583333333333332,-3.299999999999999,1.0,0.6652952492662317,0.5692795234308443,0.7693995550468951,1.393143780912934,1.051294272107842,2.0863387918802982,-1.5705077344227016,-2.294548245605721,-1.0220285080249563,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-gaziemir,2021,1,3,1.0,1.0,71.12083333333334,10.0,99.6,35.854166666666664,0.0,153.8,79.09166666666667,69.1,87.2,147.89583333333334,122.3,185.4,1.9791666666666667,1.3,2.4,1.8,1.0,12.6,-0.00833333333333323,-1.5999999999999996,1.1999999999999993,0.5179389616213805,-0.09410831331851455,0.8452618332218562,1.0598425385643973,-0.12234080731406892,2.028628399732455,-1.6123047834246067,-2.0660073546083604,-1.1175379178499625,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-gaziemir,2021,1,4,2.0,0.0,45.012499999999996,9.6,85.4,80.46249999999999,0.0,344.9,71.97916666666667,58.5,82.8,144.04583333333332,130.5,156.2,3.5625,1.7,5.8,1.0541666666666667,1.0,2.3,0.15000000000000024,-2.8999999999999986,1.4000000000000004,0.5831829422673863,0.40354529635239045,0.7604059656000309,2.124338360991883,0.887799651975259,3.757929101598496,-2.8336059294197757,-4.4882732164137344,-1.104061682161312,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-gaziemir,2021,1,5,1.0,0.0,40.5,5.1,100.0,94.6375,0.0,371.1,82.82083333333334,56.1,100.0,178.25,138.9,231.5,2.591666666666667,1.2,5.8,12.791666666666666,1.0,95.0,-0.6333333333333335,-3.5000000000000018,1.0999999999999996,0.032735475871264116,-0.7826081568524138,0.6573752457940957,0.16196396428199172,-2.5043461019277244,2.5849360328792756,-2.2550718932202067,-5.302672940358728,-1.1217908116752173,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-gaziemir,2021,1,6,1.0,0.0,60.50416666666666,8.5,91.5,89.30416666666667,0.0,365.2,79.46249999999999,61.8,88.9,147.5,127.4,165.9,1.9791666666666667,1.3,3.1,1.0,1.0,1.0,-0.3041666666666668,-3.200000000000001,1.2999999999999998,0.5318735421231321,0.24361501178602243,0.794414620535418,1.07999195531123,0.31669951532182916,2.041937326367909,-1.6374435300025931,-2.441793962809937,-1.1510016574430322,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-gaziemir,2021,1,7,7.0,0.0,46.38333333333333,2.5,85.0,82.98333333333333,0.0,353.4,80.5625,65.2,89.6,149.62916666666666,134.4,179.8,2.2916666666666665,1.3,3.8,1.3499999999999999,1.0,5.9,-0.3625000000000001,-3.3000000000000007,1.0999999999999996,0.49366329581542473,0.0034906514152236376,0.7144726796328033,1.0710657947409565,0.013264475377849822,2.0112798568763974,-1.9426296915578902,-3.7999768490996035,-1.207872342994273,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-gaziemir,2021,1,8,1.0,0.0,45.87916666666666,9.9,68.2,99.2625,0.0,389.3,84.94166666666666,66.9,92.5,154.06666666666666,139.4,177.0,3.65,2.1,5.7,1.0,1.0,1.0,-0.46250000000000013,-3.4000000000000004,1.5,0.42753176911848234,0.05233595624294381,0.6507742172658509,1.409698254570211,0.2717229916400023,2.5804072445912207,-3.262771656090472,-5.476441178698286,-1.8056897703534343,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-gaziemir,2021,1,9,0.0,0.0,80.2,33.4,99.9,39.65,0.0,177.9,88.75,83.8,93.4,150.775,144.7,159.7,4.4125000000000005,3.3,5.9,1.325,1.0,8.8,-0.4791666666666665,-1.8000000000000007,0.0,0.48716410028566964,0.3469356515732561,0.5778576243835056,2.1304485201249395,1.1795812153490708,2.6098448685483757,-3.8527949407528452,-5.46651892214384,-2.81671763100858,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-gaziemir,2021,1,10,2.0,0.0,51.7125,32.2,87.7,89.30833333333334,0.0,354.5,83.73333333333333,72.6,89.8,152.0625,144.2,163.6,4.191666666666666,3.1,4.6,3.2999999999999994,1.0,37.8,-0.8833333333333337,-3.5,0.20000000000000107,0.466827255703201,0.28234145684287654,0.5849576749872157,1.950917381487403,1.2705365557929444,2.398326467447584,-3.6923836610085385,-4.316912885430259,-2.7621202249839403,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
