tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,izmir-kinik,2021,1,1,2.0,0.0,51.32083333333333,17.8,86.1,73.425,0.0,324.8,87.03750000000001,71.5,93.6,171.52083333333334,89.5,260.5,1.4041666666666668,0.8,2.7,1.0,1.0,1.0,-0.9125,-3.200000000000001,0.0,0.1314504142651295,-0.9862856015372313,0.9999619230641713,0.04513615142962437,-2.2035714932164314,1.4329175431835155,-0.9057350830845964,-2.490863240477266,0.006981228398699118,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,izmir-kinik,2021,1,2,2.0,0.0,40.229166666666664,14.1,60.9,92.97916666666667,0.0,412.3,79.71249999999999,55.7,95.2,114.02499999999999,69.7,148.7,1.3166666666666667,0.2,2.0,1.0,1.0,1.0,-0.8458333333333335,-3.6000000000000014,0.7000000000000011,0.8700017345691616,0.5195191118795096,0.9895257890689695,1.1625427050078503,0.18757778692237953,1.7698588336151184,-0.5394384363375293,-1.234071750281497,0.10728132906980975,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-kinik,2021,1,3,1.0,1.0,55.32916666666667,5.8,100.0,44.775,0.0,205.7,79.37083333333332,69.7,91.6,115.08333333333333,79.4,139.5,1.325,0.4,2.2,7.308333333333334,1.0,92.5,-0.5625000000000001,-2.799999999999999,0.5,0.8654338201337874,0.6494480483301838,0.9998157121216442,1.1230627043287467,0.3968458805257912,1.869763924571101,-0.6326859414360727,-1.1593027500926898,0.11037081036763201,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-kinik,2021,1,4,2.0,0.0,46.92916666666667,15.1,92.8,86.97916666666667,0.0,408.8,71.58333333333333,48.8,87.1,119.85416666666667,88.0,140.7,1.8041666666666665,0.3,3.2,1.7333333333333334,1.0,7.9,-0.22916666666666655,-3.1000000000000014,1.1000000000000005,0.8477692845908767,0.6333808726275506,0.9993908270190958,1.5406346980575147,0.29981724810572874,2.9345922380323977,-0.8791497558070233,-1.6728931243200682,0.010469849010750324,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-kinik,2021,1,5,1.0,0.0,31.320833333333336,4.7,95.7,90.62083333333334,0.0,389.8,74.875,49.7,91.3,196.6208333333333,146.4,261.5,2.316666666666667,1.3,3.9,11.445833333333333,1.0,91.0,-0.5999999999999998,-2.599999999999998,0.1999999999999993,-0.21533109745900392,-0.9890158633619168,0.5533915492433441,-0.722442343739017,-3.6506321893819957,1.1707952562258541,-1.737237362628192,-2.914187714579767,-0.28083788114625985,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-kinik,2021,1,6,2.0,0.0,46.875,3.4,94.0,90.22500000000001,0.0,391.7,77.3625,57.5,89.4,158.58333333333334,117.7,250.0,1.5250000000000001,0.8,2.5,1.0,1.0,1.0,-0.5166666666666669,-3.5000000000000018,1.0,0.3427245092010877,-0.9396926207859082,0.8853936257544158,0.5355830183574034,-1.822307452074749,1.5937085263579485,-1.0385785467202653,-2.2011933837729045,-0.43357830669154357,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-kinik,2021,1,7,3.0,1.0,53.65,7.3,95.5,77.93333333333334,0.0,331.0,77.27499999999999,55.9,87.5,170.8708333333333,132.6,234.6,1.925,0.6,4.4,2.8708333333333336,1.0,33.6,-0.3375000000000001,-2.9000000000000004,0.9000000000000004,0.15526262718614656,-0.8151277957285538,0.7360970871197344,-0.03584127355748478,-2.949877123418716,1.3694066480438234,-1.478803096338104,-3.2646937002927126,-0.5778975400785948,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-kinik,2021,1,8,2.0,2.0,43.49166666666667,1.3,80.7,104.84583333333335,0.0,458.3,77.70833333333333,54.7,93.0,161.45833333333334,128.1,220.3,1.6375,0.4,4.4,1.0,1.0,1.0,-0.7916666666666666,-3.8999999999999986,0.6000000000000014,0.28070602070214973,-0.6467897795104596,0.7869350219613374,0.10713279353827383,-2.312075264717977,1.1682596425932041,-1.3143620338495943,-3.743568881465827,-0.31818939234195837,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-kinik,2021,1,9,0.0,0.0,72.30416666666666,23.9,99.5,48.13333333333333,0.0,217.8,85.3125,79.7,90.7,148.84166666666667,124.8,193.5,1.3416666666666668,0.3,3.0,1.2333333333333334,1.0,3.8,-1.0666666666666669,-3.700000000000001,-0.1999999999999993,0.4989819645075282,-0.23344536385590572,0.8211492091337041,0.6282039547577744,-0.14006721831354343,1.0423083375168802,-1.1274262592955455,-2.950714412440157,-0.25413657641464116,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-kinik,2021,1,10,1.0,0.0,53.895833333333336,8.1,87.7,73.325,0.0,301.1,86.30833333333334,69.3,94.0,148.45,81.1,271.2,1.0875000000000001,0.1,1.7,3.9125,1.0,46.4,-1.6791666666666665,-4.299999999999997,-0.5999999999999996,0.48567136685429163,-0.9997806834748455,0.9879598657693891,0.49484440233858423,-1.599649093559753,1.1166175003553198,-0.6608263593781651,-1.3788084922818549,0.03350787181337018,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
