tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,izmir-menemen,2021,1,1,5.0,0.0,62.137499999999996,16.2,99.7,70.74166666666666,0.0,345.2,89.60833333333333,77.8,98.8,140.1875,72.5,185.8,2.2083333333333335,1.1,3.3,1.7125000000000001,1.0,9.8,-0.85,-3.3999999999999986,0.3000000000000007,0.566052875347069,-0.10105629718294659,0.9976842788356053,1.122156782993332,-0.33348578070372376,1.7536153124096732,-1.7003824233130873,-3.283106339135001,0.3307763794547006,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,izmir-menemen,2021,1,2,19.0,2.0,32.30416666666667,9.4,59.4,92.5125,0.0,395.4,86.625,58.8,100.0,87.66666666666667,64.2,159.5,2.1041666666666665,1.0,3.3,1.0,1.0,1.0,-0.5124999999999996,-3.6999999999999993,1.4000000000000004,0.8764175424056427,0.35020738125946754,0.9999756307053947,1.8565200532052308,0.5504807400849958,3.1312908384268385,0.2112856028634503,-2.1856407859348246,1.0981889363046606,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-menemen,2021,1,3,1.0,1.0,64.53750000000001,19.4,100.0,39.770833333333336,0.0,176.7,87.91250000000001,71.8,96.7,88.69166666666666,67.1,129.9,2.0708333333333333,1.4,2.4,6.0,1.0,92.9,-0.17499999999999985,-1.8000000000000007,1.3000000000000007,0.9484998215722414,0.7671651518152998,0.999925369660452,1.9633739701306565,1.2896595677920095,2.35904483795893,0.059821582746367195,-1.4753341526090622,0.6871575878561181,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-menemen,2021,1,4,3.0,0.0,46.94583333333333,15.2,94.9,83.23333333333333,0.0,377.9,74.87083333333334,53.8,94.7,105.55416666666666,67.9,156.5,3.225,2.2,5.6,1.0,1.0,1.0,0.42916666666666675,-2.8999999999999986,1.700000000000001,0.7978601980723324,0.39874906892524653,0.9945218953682733,2.4524674673712457,1.558675315992441,3.4945793336814863,-0.918195978929826,-4.930675367108923,1.2039176420459694,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-menemen,2021,1,5,4.0,0.0,29.67916666666667,1.6,99.4,95.25,0.0,386.4,81.12083333333334,59.1,94.9,169.06666666666666,103.7,219.5,2.5083333333333333,1.1,5.7,11.725,1.0,94.0,-0.8500000000000002,-3.6999999999999993,1.0,0.14828609039930485,-0.6360782202777636,0.9715491199976461,0.2909720041104928,-2.1747707246475105,1.8359377257857414,-2.184773510394239,-5.448020184350482,-0.33157340449186606,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-menemen,2021,1,6,9.0,2.0,52.166666666666664,7.3,80.9,86.875,0.0,396.7,78.54166666666667,60.8,89.7,115.52499999999999,75.5,177.3,1.9833333333333334,1.4,3.6,1.0,1.0,1.0,-0.4499999999999999,-3.0,1.1999999999999993,0.7967448423028912,0.04710645070964251,0.9976842788356053,1.4799807792756408,0.16958322255471306,2.7191759837469807,-0.7739599368863276,-3.596003549863092,0.6678936812200262,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-menemen,2021,1,7,7.0,2.0,48.729166666666664,4.9,95.3,78.67083333333333,0.0,347.2,77.59583333333333,64.4,84.2,141.9125,120.6,183.9,2.4583333333333335,1.6,3.6,2.6,1.0,26.8,-0.6333333333333333,-2.6999999999999993,0.09999999999999964,0.5923814720305735,-0.06801529066524781,0.8607420270039439,1.3370320231709913,-0.23125198826184254,1.9215981398256383,-1.9217294125122508,-3.5474684345405643,-0.8144662652005934,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-menemen,2021,1,8,6.0,0.0,38.44166666666667,5.1,84.3,104.70833333333333,0.0,448.7,81.97916666666667,62.1,91.9,158.09166666666667,143.7,181.4,3.591666666666667,2.4,5.4,1.0,1.0,1.0,-0.9083333333333335,-3.6000000000000014,0.0,0.3658887979873117,-0.024432178152653285,0.5920131787992197,1.1785103009359463,-0.12216089076326642,1.7072807832229986,-3.3121333931933545,-5.384799721035625,-1.9342278773964374,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-menemen,2021,1,9,9.0,1.0,75.93333333333334,21.1,100.0,35.07083333333333,0.0,161.8,85.09166666666667,77.4,90.1,156.82083333333333,150.4,167.7,4.154166666666667,3.5,4.9,1.2333333333333334,1.0,4.3,-0.43750000000000006,-1.8000000000000007,0.3999999999999986,0.39255105144478036,0.21303038627497708,0.4939418665842309,1.6341651023013029,0.8374677759515481,2.1239500263121927,-3.806474308019471,-4.58669172512097,-3.1998888433199224,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-menemen,2021,1,10,6.0,0.0,56.125,34.1,95.6,86.95416666666667,0.0,352.2,77.1375,69.3,81.1,160.87916666666666,154.9,168.0,3.6875,3.0,4.1,2.629166666666667,1.0,29.8,-0.7708333333333335,-3.3000000000000007,0.20000000000000107,0.32685249340922473,0.20791169081775931,0.42419942274539013,1.2113333809380722,0.7276909178621576,1.7197535380293272,-3.4743690623345027,-3.882865926312763,-2.8611508522446805,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
