tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,izmir-odemis,2021,1,1,11.0,0.0,49.275,17.7,81.3,61.17083333333333,0.0,259.0,82.01666666666667,74.8,87.5,57.8125,9.5,358.4,1.6958333333333335,1.4,2.2,1.0,1.0,1.0,-0.2541666666666666,-2.5999999999999996,1.1000000000000005,0.6494510120273098,-0.027921638723569165,0.9685831611286311,1.0989534394864564,-0.05584327744713833,1.9371663222572622,1.1736443124147913,0.4973797743297099,1.9992202300807087,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,izmir-odemis,2021,1,2,41.0,3.0,25.22083333333333,4.0,50.0,106.5125,0.0,443.0,68.69166666666666,48.9,83.0,92.66666666666667,18.9,342.5,1.2791666666666666,0.2,1.9,1.0,1.0,1.0,-0.6083333333333333,-4.099999999999998,1.0999999999999996,0.6618300204946387,-0.8171448983351292,0.992546151641322,0.9671163147632238,-0.8171448983351292,1.6974056378228912,0.6424467884379101,0.0866137206005839,1.0882784067522748,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-odemis,2021,1,3,8.0,2.0,54.37916666666666,1.3,97.1,47.6875,0.0,230.5,61.30416666666667,54.6,74.4,74.60416666666667,25.6,352.1,1.1791666666666667,0.6,1.7,1.0,1.0,1.0,-0.19166666666666674,-2.0,0.8000000000000007,0.6661557809550741,-0.177084740319584,0.9993908270190958,0.8044653226027635,-0.177084740319584,1.1963758932378425,0.7917068665252601,0.031409547032250976,1.4010145206574267,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-odemis,2021,1,4,13.0,0.0,37.55833333333333,0.0,89.0,97.61666666666667,0.0,441.7,63.5875,42.4,76.2,60.354166666666664,32.7,74.5,1.8583333333333334,1.1,3.0,1.2750000000000001,1.0,7.6,-0.1833333333333335,-2.9000000000000004,1.0,0.8542200832451599,0.540240320477655,0.963630453208623,1.6181935432332721,0.7023124166209516,2.888075239279436,0.8533425835557735,0.5112276204670606,1.2202903278025354,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-odemis,2021,1,5,8.0,0.0,47.60833333333333,10.0,100.0,100.5625,0.0,434.7,71.85833333333333,56.1,93.6,81.9125,5.9,356.7,1.5833333333333333,0.8,2.8,6.816666666666666,1.0,64.1,-0.7916666666666665,-3.9000000000000004,0.7000000000000011,0.5404956724001728,-0.5045276238150194,0.9578224948453149,0.9295263796735437,-0.7387977811760539,2.5979415109169754,1.04625811900748,0.426301020856584,1.690994789099196,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-odemis,2021,1,6,16.0,0.0,43.1,2.3,63.5,107.23333333333333,0.0,468.3,63.362500000000004,48.4,74.4,132.4375,17.1,357.0,1.2916666666666667,0.5,1.9,1.0,1.0,1.0,-0.49999999999999983,-4.300000000000001,1.2000000000000002,0.4017749336887211,-0.7592713073348807,0.9607791541575942,0.6556279833485836,-0.6039250997979445,1.562073677958401,0.8923555700679527,0.16638879198142661,1.5448914459893526,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-odemis,2021,1,7,21.0,0.0,68.92916666666666,18.3,96.1,84.425,0.0,352.7,73.39166666666667,63.3,86.2,23.900000000000002,2.3,47.9,1.4666666666666668,1.0,2.0,1.0,1.0,1.0,-0.6208333333333333,-3.3000000000000007,0.6999999999999993,0.393087164733168,0.040131792532559725,0.7419758409756163,0.5833187012369032,0.06822404730535153,1.2269923877672155,1.299561957855633,0.871554604646439,1.9084806570325539,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-odemis,2021,1,8,17.0,0.0,39.074999999999996,13.8,60.6,101.54583333333333,0.0,417.2,78.30416666666666,58.8,89.0,59.208333333333336,6.3,358.2,1.5708333333333335,1.3,1.9,1.0,1.0,1.0,-0.8041666666666668,-3.8000000000000007,0.5999999999999996,0.4759556425981988,-0.04013179253256103,0.7682835235935234,0.7327139173632068,-0.06822404730535375,1.1890317207638306,1.3404793535839443,0.8321426093304422,1.6991611526217436,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-odemis,2021,1,9,16.0,0.0,74.78333333333333,8.4,98.9,55.791666666666664,0.0,281.8,83.4875,74.0,89.9,39.983333333333334,22.1,53.8,1.7541666666666667,1.1,2.5,1.0,1.0,1.0,-0.8166666666666665,-3.1999999999999993,0.09999999999999964,0.6360632949711317,0.37622426313936563,0.8069603121438019,1.1223276685893118,0.5747484211875438,1.7145458823184403,1.3254325308110304,0.6877669219692758,1.8194318941430263,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-odemis,2021,1,10,5.0,1.0,48.362500000000004,8.9,93.3,87.91666666666667,0.0,385.4,81.39999999999999,65.5,89.6,39.2125,14.4,61.3,1.8,1.5,2.2,1.4958333333333333,1.0,9.9,-1.0833333333333337,-3.700000000000003,-0.09999999999999964,0.6180103291824057,0.2486898871648548,0.8771461637055887,1.1030509311255587,0.3979038194637677,1.5788630946700597,1.3712445618968065,0.847450505137407,1.9300329889446228,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
