tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,izmir-seferihisar,2021,1,1,9.0,0.0,71.3125,54.9,96.8,73.6875,0.0,319.5,90.87083333333334,84.4,95.9,158.52916666666667,109.8,203.1,3.7458333333333336,2.2,4.9,1.1875,1.0,5.5,-0.9625000000000002,-3.5,0.0,0.3211046681848236,-0.3923371166035612,0.9408807689542255,1.084449586076756,-1.5693484664142447,3.4038260152490865,-3.100604426788355,-4.6697877216799615,-1.0839613447849323,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,izmir-seferihisar,2021,1,2,22.0,2.0,39.7875,11.9,63.0,90.65833333333335,0.0,374.6,79.04166666666667,64.3,94.0,107.17916666666667,82.8,146.9,3.4916666666666667,2.6,4.4,1.0,1.0,1.0,-0.6374999999999998,-2.8999999999999986,0.1999999999999993,0.9009142436345097,0.5461019610144288,0.9998157121216442,3.11973071923666,1.9403693385313794,4.3725788443066245,-1.0026591609154334,-3.6021904814678876,0.4261329941186345,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,izmir-seferihisar,2021,1,3,3.0,0.0,71.875,11.2,99.7,37.454166666666666,0.0,145.2,78.44583333333334,70.6,90.6,98.65416666666665,82.8,138.1,3.295833333333333,1.5,4.0,5.983333333333333,1.0,76.6,-0.1875,-1.4000000000000004,0.40000000000000036,0.9682778465565338,0.6678325554710466,0.9999619230641713,3.2138085385768425,1.0017488332065698,3.8861964799905846,-0.4416427324733158,-1.454197042987341,0.4386663174750649,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,izmir-seferihisar,2021,1,4,4.0,1.0,50.68333333333334,20.1,77.3,83.66666666666667,0.0,325.6,67.45416666666667,56.1,81.7,117.80833333333334,82.9,158.3,5.770833333333333,2.9,10.0,1.2958333333333334,1.0,5.9,0.19999999999999996,-1.5999999999999979,1.2999999999999972,0.7876519528420673,0.3697467572738294,0.9980267284282716,4.115920521750103,2.887601624735288,6.0016514995243835,-3.1193702729077692,-9.291325715340562,0.49440590696197045,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,izmir-seferihisar,2021,1,5,1.0,0.0,36.94166666666667,1.1,99.9,99.92083333333333,0.0,391.0,73.25416666666666,56.6,93.7,208.48333333333335,160.8,237.6,3.8666666666666667,2.0,9.8,10.745833333333332,1.0,95.0,-0.5125,-2.400000000000002,0.5,-0.4538450621730878,-0.8443279255020147,0.3288666467385834,-1.4380230507275344,-3.4595969047411566,3.2228931380381174,-3.215060229400526,-9.254888428327314,-1.6480303781194743,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,izmir-seferihisar,2021,1,6,5.0,1.0,57.37083333333334,2.6,94.6,81.49583333333334,0.0,336.5,76.17916666666666,65.6,86.2,126.17916666666667,91.5,164.9,3.033333333333333,1.8,4.6,1.0791666666666666,1.0,2.9,-0.5583333333333332,-2.3999999999999986,0.1999999999999993,0.729947307853406,0.26050450864264807,0.9996573249755573,2.2589635872384326,0.632193143669366,3.772477899331893,-1.5474609463794273,-3.9584377866048226,-0.09161931907755556,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,izmir-seferihisar,2021,1,7,12.0,0.0,59.791666666666664,15.1,93.6,70.14166666666667,0.0,307.4,79.22500000000001,64.1,86.1,143.87916666666666,106.6,188.6,4.0125,3.0,5.2,1.0,1.0,1.0,-0.38749999999999996,-2.5,0.3000000000000007,0.5438872623879076,-0.1495353434437094,0.9583225744651332,2.059625796330051,-0.7775837859072888,3.673402769985463,-3.0249779165668453,-5.190847105203579,-0.8570651022149203,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,izmir-seferihisar,2021,1,8,14.0,1.0,31.8875,4.6,64.6,104.03750000000001,0.0,422.8,85.88333333333333,67.3,96.4,152.99583333333334,135.1,186.6,5.004166666666666,3.9,6.6,1.0,1.0,1.0,-1.0166666666666668,-3.6000000000000014,0.10000000000000142,0.437466406426882,-0.11493715049286643,0.7058715706786811,2.095842970584549,-0.6436480427600519,3.5491552626208014,-4.31445244731092,-6.123719275732872,-2.884561270416577,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,izmir-seferihisar,2021,1,9,2.0,0.0,75.82083333333334,13.1,100.0,46.40833333333333,0.0,217.0,89.45416666666667,85.4,92.7,153.92916666666667,145.6,163.0,6.583333333333333,5.5,7.8,1.3625,1.0,9.7,-0.5749999999999998,-2.299999999999997,0.10000000000000142,0.437880255855815,0.29237170472273705,0.564967003424938,2.8778200335297335,1.8329909348213176,3.74790370465963,-5.893875404344335,-7.366135687852352,-5.012718021494948,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,izmir-seferihisar,2021,1,10,8.0,1.0,52.6625,32.7,87.6,91.7375,0.0,357.0,84.91250000000001,77.6,89.8,150.81666666666666,143.2,157.6,6.283333333333334,5.1,7.0,5.791666666666667,1.0,49.0,-0.9249999999999998,-3.3999999999999986,0.10000000000000142,0.4866966593735387,0.3810703763502743,0.599023598515586,3.061828258217519,1.9434589193863987,3.729683026435084,-5.474137961351065,-6.237045669318574,-4.715184771422796,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2021-01-11,izmir-seferihisar,2021,1,11,3.0,0.0,43.9625,18.8,75.1,98.37083333333334,0.0,399.2,80.3,72.4,89.6,151.17499999999998,140.3,162.1,7.425,5.5,8.9,1.7541666666666664,1.0,17.7,-0.604166666666667,-3.1999999999999993,0.6000000000000014,0.4780344832218337,0.3073566177998073,0.6387678175155974,3.4491202940572663,2.674002574858323,4.699903804717411,-6.504306182933063,-8.394681655733647,-4.231697552757924,0,1,11,2,0,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,0.7431448254773945,-0.6691306063588579,1.0,6.123233995736766e-17
2021-01-12,izmir-seferihisar,2021,1,12,6.0,0.0,55.6625,6.6,99.1,70.05,0.0,346.6,78.66250000000001,64.3,94.8,160.44583333333333,153.2,186.1,9.5875,8.0,11.0,14.566666666666665,1.0,94.3,0.17499999999999938,-1.5,1.1999999999999993,0.33266971705545806,-0.10626407133623268,0.45087754068943103,3.2247209145157467,-0.8607389778234847,4.7073491174582935,-8.95645001652873,-10.177306902243602,-7.3140316418741085,0,1,12,2,1,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2021-01-13,izmir-seferihisar,2021,1,13,21.0,1.0,55.925000000000004,19.0,100.0,101.33333333333333,0.0,399.0,76.675,51.4,95.2,304.34166666666664,166.2,346.7,3.6666666666666665,2.1,7.9,1.0,1.0,1.0,-0.7125,-3.1999999999999993,0.5,-0.5727952598354166,-0.9845031799744366,0.23853345757858155,-1.984406888745353,-3.641409644839234,1.6220275115343545,1.2707322946732342,-7.293360715192551,3.2787399711584033,0,1,13,2,2,0.49999999999999994,0.8660254037844387,0.2219215130041655,0.9750645322571948,0.40673664307580004,-0.913545457642601,1.0,6.123233995736766e-17
2021-01-14,izmir-seferihisar,2021,1,14,7.0,0.0,42.35,0.0,69.9,102.15833333333335,0.0,410.8,76.8,57.8,91.5,169.85,0.6,359.9,2.1958333333333333,0.5,5.2,2.1374999999999997,1.0,6.1,-0.5541666666666668,-3.9000000000000004,1.6000000000000005,-0.06748032018412939,-0.7169106076504829,0.4051415867798625,-0.18765256369592112,-1.501998161850825,0.6932658902414772,2.0364575647714847,-0.7559591297260247,5.197141122897138,0,1,14,2,3,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505,0.20791169081775931,-0.9781476007338057,1.0,6.123233995736766e-17
2021-01-15,izmir-seferihisar,2021,1,15,11.0,0.0,41.983333333333334,0.0,100.0,114.925,0.0,495.0,69.80833333333334,53.3,87.7,104.65416666666665,8.5,359.8,5.245833333333334,1.7,8.1,8.016666666666667,1.0,77.2,0.8041666666666666,-4.799999999999999,3.6,0.11193055848418769,-0.9537169507482267,0.8309844692743282,0.026139932946919547,-7.629735605985814,2.7977254612450957,2.4218582260881796,-7.132546972972626,6.799958572072975,0,1,15,2,4,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775,5.66553889764798e-16,-1.0,1.0,6.123233995736766e-17
2021-01-16,izmir-seferihisar,2021,1,16,11.0,1.0,68.21666666666667,9.1,100.0,40.987500000000004,0.0,199.3,83.65833333333333,63.9,95.2,61.291666666666664,3.0,355.8,4.4875,2.9,7.3,12.670833333333334,1.0,94.8,2.9875000000000003,0.5,4.4,0.2716204650924462,-0.22835087011065586,0.7501110696304596,0.996929055449063,-1.2787648726196728,2.7003998506696547,4.234834645296104,2.349120757292808,7.289995603708388,0,1,16,2,5,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486,-0.20791169081775907,-0.9781476007338057,1.0,6.123233995736766e-17
2021-01-17,izmir-seferihisar,2021,1,17,4.0,0.0,32.329166666666666,3.7,99.3,120.02083333333333,0.0,498.2,74.83749999999999,54.0,92.6,84.32083333333334,3.4,359.3,4.429166666666666,3.2,5.7,1.0,1.0,1.0,2.3000000000000003,-2.500000000000001,4.300000000000001,0.15983879474077153,-0.13571557243430504,0.4771587602596084,0.6960049453304696,-0.6242916331978031,1.813203288986512,4.3169750197115215,3.1997611829134467,5.623461321159725,0,1,17,2,6,0.49999999999999994,0.8660254037844387,0.288482432880609,0.9574851883550393,-0.4067366430758002,-0.9135454576426009,1.0,6.123233995736766e-17
2021-01-18,izmir-seferihisar,2021,1,18,7.0,0.0,36.0375,0.0,100.0,126.125,0.0,539.4,63.975,38.1,81.5,20.083333333333332,9.5,44.2,4.754166666666666,3.4,5.8,1.6375,1.0,8.7,2.6083333333333334,-2.299999999999999,4.7,0.3381087165767301,0.16504760586067763,0.6971651028545646,1.628323894589302,0.627180902270575,3.377129851316955,4.400188164764508,3.188822377680452,5.571270597430747,0,1,18,3,0,0.49999999999999994,0.8660254037844387,0.30492122465628907,0.9523775757303974,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17
2021-01-19,izmir-seferihisar,2021,1,19,7.0,1.0,7.833333333333333,0.0,43.1,133.26250000000002,0.0,545.6,56.791666666666664,37.3,73.0,11.466666666666667,3.1,22.0,5.208333333333333,4.6,6.0,1.0,1.0,1.0,2.858333333333333,-1.7999999999999998,5.1000000000000005,0.19787212661386713,0.05407881298477529,0.374606593415912,1.011109474302913,0.2763073294059229,1.7606509890547866,5.08629455825642,4.357764116463901,5.945899198289018,0,1,19,3,1,0.49999999999999994,0.8660254037844387,0.3212696616923644,0.9469877530760753,-0.743144825477394,-0.6691306063588585,1.0,6.123233995736766e-17
2021-01-20,izmir-seferihisar,2021,1,20,8.0,1.0,1.9041666666666668,0.0,12.8,132.2875,0.0,529.8,60.80416666666667,42.1,73.9,96.02083333333333,13.9,354.4,2.8041666666666667,0.5,4.8,1.0,1.0,1.0,0.975,-5.199999999999999,4.199999999999999,0.22655335445304794,-0.999194395114446,0.9996573249755573,1.027053495275096,-1.199033274137335,3.5898664806904166,1.7353046826787828,-1.3147319529325927,4.484181476740941,0,1,20,3,2,0.49999999999999994,0.8660254037844387,0.3375228995941133,0.9413173175128471,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2021-01-21,izmir-seferihisar,2021,1,21,5.0,2.0,42.9125,0.9,73.4,87.80833333333334,0.0,349.0,64.27916666666667,51.7,76.9,103.67083333333333,80.0,136.2,4.083333333333333,3.6,4.6,1.0,1.0,1.0,1.1041666666666665,-2.9000000000000004,3.4000000000000004,0.916958242822563,0.6921431738704071,0.9998766324816606,3.752857941765383,2.902424908811641,4.599432509415639,-0.8813800021690713,-3.03139295801312,0.7097047052009146,0,1,21,3,3,0.49999999999999994,0.8660254037844387,0.3536761221763716,0.9353679493131483,-0.9510565162951535,-0.30901699437494756,1.0,6.123233995736766e-17
