tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-akhisar,2021,1,1,9.0,0.0,53.24166666666667,30.5,75.0,71.55833333333334,0.0,283.5,86.38333333333333,78.6,94.3,133.57916666666668,20.0,226.1,1.3333333333333333,0.2,2.1,1.0,1.0,1.0,-0.7041666666666666,-3.4999999999999982,0.7999999999999989,0.39830452008805567,-0.72055111168033,0.9142539552342637,0.5621004056566767,-0.7491497985712126,1.542958701094432,-0.6973740468808606,-1.9618293960741622,1.119957273428087,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-akhisar,2021,1,2,16.0,7.0,23.079166666666666,3.3,49.6,102.55,0.0,437.6,83.2375,52.7,95.7,100.625,35.2,339.6,1.1083333333333334,0.4,1.4,1.0,1.0,1.0,-0.8541666666666666,-4.200000000000001,0.7000000000000002,0.5560912050662049,-0.9499720515246527,0.8972583696743284,0.6784143090098688,-0.8549748463721875,1.1898497701816095,0.4298075465176705,-0.877981089551271,1.312194785288648,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-akhisar,2021,1,3,8.0,5.0,46.074999999999996,1.3,99.8,48.90416666666667,0.0,236.1,80.56666666666666,57.3,95.0,122.47916666666667,3.8,359.9,0.9666666666666667,0.2,1.7,1.0,1.0,1.0,-0.24583333333333326,-2.700000000000001,1.4,0.4803770321120549,-0.9923319378854887,0.9505157316277837,0.6285236308794716,-0.694632356519842,1.4587103397301957,0.5343387848472884,-0.08652103371834521,0.899998629221959,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-akhisar,2021,1,4,5.0,3.0,41.1,7.7,95.5,91.08749999999999,0.0,442.3,70.8875,41.9,96.3,90.1875,35.5,145.4,1.6125,0.5,2.7,2.2958333333333334,1.0,30.4,-0.29999999999999977,-3.5,1.1000000000000005,0.8061954270301932,0.5678437450531015,0.9907478404714436,1.2985093682886155,0.456922984522042,2.554430468834372,-0.27081274229763536,-2.0578409213361044,1.1130593833194775,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-akhisar,2021,1,5,11.0,0.0,43.020833333333336,8.0,100.0,87.30416666666667,0.0,375.1,76.49166666666666,61.6,90.2,160.11666666666667,83.0,229.5,1.8375000000000001,0.9,3.1,6.770833333333333,1.0,53.9,-0.6875000000000003,-3.400000000000002,0.7000000000000011,0.24586317620105066,-0.7604059656000306,0.9986295347545738,0.5422725886382266,-1.6374854017085385,2.7718781342020415,-1.1588482797219897,-1.786583759161974,0.10968240906463274,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-akhisar,2021,1,6,15.0,1.0,41.670833333333334,0.0,72.6,96.81666666666666,0.0,436.3,80.68333333333334,57.0,94.7,100.64583333333333,43.5,350.8,0.9833333333333334,0.2,1.6,1.1500000000000001,1.0,4.6,-0.8041666666666666,-4.0,1.2999999999999998,0.7078672991742954,-0.4817536741017154,0.9997806834748455,0.6954672716995279,-0.6744551437424015,1.361297775078482,0.10252374818729733,-1.2268293520614089,0.852602041713168,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-akhisar,2021,1,7,15.0,1.0,59.71666666666667,6.1,98.1,89.27083333333333,0.0,395.4,74.19166666666666,57.4,94.6,123.60416666666667,27.5,215.8,1.3208333333333333,0.6,2.4,2.279166666666667,1.0,28.9,-0.7083333333333334,-3.1999999999999993,0.5,0.46603302004675573,-0.5849576749872152,0.99888987496197,0.4632168506038948,-1.4038984199693163,1.5432217135059445,-0.5267334136106634,-2.164025768594718,0.7096086665425774,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-akhisar,2021,1,8,16.0,2.0,40.84583333333334,4.7,85.0,106.5,0.0,460.8,78.61666666666666,52.9,93.2,129.62083333333334,73.9,205.7,1.8166666666666667,0.8,4.0,1.0,1.0,1.0,-0.7124999999999999,-3.599999999999998,0.5,0.5404626601546657,-0.43365908458754426,0.999925369660452,0.5405093545671569,-1.734636338350177,1.3355565137561096,-1.1204815298165716,-3.6043080852883667,0.30135514056167584,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-akhisar,2021,1,9,12.0,0.0,77.87083333333334,14.9,100.0,42.354166666666664,0.0,203.4,86.79583333333333,79.0,91.2,124.24166666666667,90.3,161.7,1.9083333333333332,1.5,2.4,1.9000000000000001,1.0,13.1,-0.7541666666666664,-2.299999999999997,0.0,0.7848808097447271,0.31399245596740516,0.9999862922474267,1.4731009467873228,0.7535818943217724,2.069937691699296,-1.0420950008594738,-2.278621146340569,-0.009948331279696888,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-akhisar,2021,1,10,6.0,1.0,58.60833333333333,29.1,83.9,75.7625,0.0,302.3,83.71666666666667,69.7,90.7,128.35833333333332,93.0,183.9,1.7,1.2,2.1,1.325,1.0,5.4,-1.2083333333333337,-3.5,-0.20000000000000107,0.7248053488714984,-0.06801529066524781,0.9986295347545738,1.2724703251024396,-0.08161834879829737,1.9156449896906298,-0.9243011009139064,-2.0060845604569217,-0.09943831686159288,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
