tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-alasehir,2021,1,1,7.0,0.0,34.329166666666666,9.9,62.0,71.52916666666667,0.0,326.7,86.40833333333335,62.6,100.0,152.7875,92.3,216.4,1.3625,0.6,2.6,1.7333333333333334,1.0,18.6,-0.5958333333333333,-2.6999999999999993,0.5,0.40505621568444533,-0.5934188866037013,0.999194395114446,0.43898793381971996,-1.2803012562690141,1.331126595408772,-1.1127203795093374,-2.2629248094437395,-0.024079075519535767,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-alasehir,2021,1,2,17.0,1.0,16.354166666666668,1.6,42.1,109.8625,0.0,470.6,77.6125,49.8,96.4,138.44583333333333,38.0,200.7,1.2166666666666666,0.2,1.9,1.0,1.0,1.0,-0.8833333333333334,-4.300000000000001,0.6999999999999993,0.5137692182132502,-0.35347484377925675,0.9996101150403544,0.7241787207828123,-0.20619581675136953,1.8638147951634638,-0.7962965471329198,-1.2479311831957238,0.472924485965041,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-alasehir,2021,1,3,12.0,0.0,45.13333333333333,2.4,95.3,68.12916666666666,0.0,309.5,66.53333333333333,45.3,76.0,160.74583333333334,0.7,337.2,0.9583333333333334,0.2,1.4,1.0,1.0,1.0,-0.5249999999999999,-2.3000000000000007,0.5999999999999996,0.23034912371522634,-0.9449489121575307,0.9685831611286311,0.33079968246750274,-0.5669693472945184,1.200034220982957,-0.456650604698073,-1.2572386060648617,0.8999328326944068,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-alasehir,2021,1,4,6.0,0.0,37.979166666666664,4.3,95.6,99.86250000000001,0.0,479.6,68.50833333333334,41.8,86.6,142.76250000000002,115.3,174.3,1.7708333333333333,0.8,3.0,1.2125000000000001,1.0,4.4,-0.27499999999999997,-3.0999999999999996,0.7000000000000002,0.5823175432064174,0.09931974974363872,0.9040825496607784,1.1134924479283954,0.1092517247180026,2.4929534078229847,-1.288289912000079,-2.02841316045948,-0.650480608837622,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-alasehir,2021,1,5,5.0,0.0,48.06666666666666,14.2,100.0,94.33333333333333,0.0,419.2,73.55,45.9,91.0,156.60416666666666,27.3,332.8,1.3416666666666668,0.7,2.4,1.4333333333333333,1.0,7.7,-0.7625000000000005,-3.6000000000000014,0.29999999999999893,0.3477496481901538,-0.519519111879509,0.9170600743851242,0.6227692788638152,-0.6753748454433618,2.017532163647273,-0.8174766107046189,-1.7477121651779202,0.9774789559204439,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-alasehir,2021,1,6,9.0,0.0,45.69583333333333,1.8,64.9,103.89166666666667,0.0,453.9,76.34583333333333,44.7,97.7,143.25,72.1,191.6,1.1291666666666667,0.7,1.6,1.0,1.0,1.0,-0.7458333333333335,-3.5999999999999996,0.6999999999999993,0.4887522208369582,-0.20107792114596437,0.9935718556765875,0.6170850389502277,-0.18097012903136794,1.58971496908254,-0.72247602023605,-1.2328207517680592,0.2766209560198265,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-alasehir,2021,1,7,13.0,2.0,76.2625,8.1,95.3,63.474999999999994,0.0,265.9,76.55,60.6,93.6,145.93333333333334,110.5,187.6,1.0583333333333333,0.5,1.4,1.0916666666666666,1.0,3.2,-0.6708333333333333,-2.299999999999999,0.0,0.5306926964627449,-0.13225639025712205,0.9366721892483976,0.5670478347608329,-0.14548202928283427,1.2075191368901603,-0.8219765274593933,-1.0984924882300313,-0.3151866431335208,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-alasehir,2021,1,8,8.0,0.0,38.63333333333333,4.8,84.9,109.70833333333333,0.0,468.5,81.58749999999999,52.7,95.5,149.84166666666667,118.3,199.9,1.675,0.9,2.9,1.0,1.0,1.0,-0.9,-3.400000000000002,0.0,0.47158600146453794,-0.34037955021305016,0.880477353509162,0.7011437825702515,-0.8849868305539305,1.5848592363164917,-1.3512436784647186,-2.8279331274861335,-0.7371422401187319,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-alasehir,2021,1,9,5.0,0.0,59.5,25.4,97.6,59.15,0.0,293.4,88.42083333333333,70.0,96.7,126.20833333333333,108.4,139.4,1.8458333333333332,1.4,2.5,1.6416666666666666,1.0,11.5,-0.9500000000000003,-3.0,-0.20000000000000107,0.7966619826874819,0.6507742172658509,0.9488760116444965,1.4841664736561846,0.9110839041721912,2.3580566448690026,-1.0567399890186655,-1.4082413388669026,-0.5619098901238682,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-alasehir,2021,1,10,3.0,0.0,48.875,11.2,78.0,84.20416666666667,0.0,343.6,84.93333333333332,59.0,96.1,148.14583333333334,124.5,191.4,1.4749999999999999,1.1,1.7,1.1375,1.0,4.3,-1.2458333333333333,-3.5,-0.3000000000000007,0.5148651915746798,-0.19765734037912652,0.8241261886220158,0.7725824108796128,-0.23718880845495183,1.3186019017952253,-1.2104505982831164,-1.5092861547318819,-0.8145849547737987,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2021-01-11,manisa-alasehir,2021,1,11,5.0,0.0,43.50416666666666,11.5,65.1,95.33749999999999,0.0,422.2,74.85833333333333,51.0,92.6,153.07083333333333,127.9,177.8,2.216666666666667,1.1,3.6,1.0583333333333333,1.0,2.4,-0.7583333333333333,-2.400000000000002,0.40000000000000213,0.44203599779180575,0.03838780908751989,0.7890840848346906,0.9311938129402949,0.11516342726255967,2.026278708821833,-1.953601280260848,-3.5252021182383566,-1.0147918984018711,0,1,11,2,0,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,0.7431448254773945,-0.6691306063588579,1.0,6.123233995736766e-17
2021-01-12,manisa-alasehir,2021,1,12,22.0,0.0,46.62083333333334,11.2,89.3,103.59166666666665,0.0,477.4,60.84583333333333,39.6,84.0,147.725,113.7,174.0,2.9416666666666664,1.7,4.2,1.6624999999999999,1.0,11.1,0.2958333333333336,-1.5999999999999979,2.5,0.5015501193850451,0.10452846326765373,0.9156625933395611,1.359460760799899,0.37630246776355347,2.6715285251666097,-2.433646131036785,-3.7006164454135364,-0.9244798863087081,0,1,12,2,1,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
