tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-demirci,2021,1,1,1.0,0.0,56.51666666666667,19.4,94.1,57.49166666666667,0.0,264.5,91.0625,82.0,98.4,145.54583333333332,89.9,208.1,1.7333333333333334,0.9,2.5,1.0,1.0,1.0,0.4083333333333332,-1.700000000000001,1.5,0.48662424979417085,-0.4710118812194096,0.9999984769132877,0.6841912115636033,-1.1304285149265831,1.249354811754932,-1.3204221582536309,-2.4961019104549527,0.002094394039077914,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-demirci,2021,1,2,5.0,1.0,40.59583333333333,0.0,97.7,103.39166666666667,0.0,470.6,84.54166666666667,53.4,100.0,100.87916666666666,76.6,164.8,1.7041666666666666,1.0,2.4,1.0,1.0,1.0,0.004166666666666634,-4.5,2.1,0.862233605549794,0.26218917864086433,0.9993908270190958,1.449837476847722,0.3420201433256689,2.364978956360376,-0.2637093852999468,-2.16807542951201,0.4467390078059358,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-demirci,2021,1,3,3.0,2.0,39.979166666666664,0.0,96.8,68.5875,0.0,272.6,76.74166666666666,51.6,96.9,117.22083333333335,81.0,212.6,1.3333333333333333,0.5,1.9,2.0625,1.0,20.5,0.008333333333333267,-2.6000000000000014,2.0,0.6689000354627715,-0.5387707850068627,0.9988061373414341,0.9304554601754468,-0.6465249420082352,1.8975667786499535,-0.30253060782342406,-1.3860331208031804,0.22559982041574766,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-demirci,2021,1,4,2.0,0.0,35.020833333333336,3.3,79.2,97.05416666666667,0.0,467.1,72.09583333333333,46.8,97.8,108.30833333333334,77.4,146.5,2.2624999999999997,1.0,3.5,1.1666666666666667,1.0,3.1,0.24583333333333332,-4.0,2.3,0.8693488281349205,0.5519369853120583,0.9990482215818578,1.8788823642754917,0.9859960370705049,2.4490188385869556,-0.8948585576799255,-2.9084456424601486,0.30377425661448637,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-demirci,2021,1,5,1.0,0.0,53.725,10.4,100.0,86.30833333333334,0.0,383.5,76.58749999999999,59.4,91.9,172.65416666666667,114.3,240.2,2.154166666666667,0.9,3.3,2.095833333333333,1.0,15.3,0.21249999999999994,-3.3999999999999986,2.2,0.09368048909109321,-0.8677654533689281,0.9114032766354453,0.40128236505788945,-1.77346644335714,2.7144811573980583,-1.6244352275480372,-3.297989729163016,-0.44727656492480034,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-demirci,2021,1,6,4.0,0.0,52.862500000000004,0.3,91.7,92.0,0.0,423.3,82.08333333333333,52.9,100.0,122.78750000000001,80.0,185.0,1.5,0.9,2.2,1.075,1.0,2.8,-0.17499999999999996,-4.199999999999999,1.8,0.7306968756780257,-0.08715574274765794,0.9999984769132877,1.046754205631474,-0.19174263404484748,1.7996052302547219,-0.7036885015275757,-2.1916283358018402,0.31256671980047473,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-demirci,2021,1,7,1.0,0.0,62.67916666666667,0.4,92.3,74.16666666666667,0.0,346.4,79.04166666666667,67.1,91.3,146.4,107.3,204.5,1.7916666666666667,1.2,2.9,3.5291666666666663,1.0,32.4,0.0666666666666668,-3.3999999999999986,1.7999999999999998,0.48508981853976035,-0.41469324265623897,0.9547607995027975,0.6613125850106008,-1.202610403703093,1.6230933591547556,-1.305774304598227,-2.705565250993918,-0.4944271909999158,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-demirci,2021,1,8,5.0,1.0,57.6625,15.3,98.7,89.77916666666665,0.0,421.9,85.04166666666667,60.8,96.6,157.04166666666666,130.2,202.2,2.345833333333333,1.6,3.9,1.0,1.0,1.0,0.03749999999999998,-3.8000000000000007,1.3000000000000007,0.36463237931711173,-0.3778407868184669,0.7637960286346424,0.5733253057623204,-1.435794989910174,1.3827682395487,-2.0481463942710776,-3.777474328401661,-1.0972780691307156,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-demirci,2021,1,9,0.0,1.0,77.63333333333334,7.4,100.0,38.416666666666664,0.0,211.4,93.02499999999999,82.8,96.1,141.26666666666668,119.8,155.4,2.2291666666666665,1.6,3.4,1.7791666666666668,1.0,17.2,0.49999999999999983,-2.0999999999999996,1.7000000000000002,0.6132272267300208,0.4162807922604012,0.8677654533689284,1.3261236322583592,0.8120613807371271,1.9419542286546347,-1.7345403706444278,-3.0636618724951115,-1.0933427142606218,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-demirci,2021,1,10,1.0,0.0,72.13333333333334,45.4,100.0,65.575,0.0,306.9,91.21249999999999,79.5,95.6,147.63333333333333,117.5,214.3,1.9375,1.6,2.8,3.6375000000000006,1.0,32.2,-0.2541666666666667,-3.0000000000000018,0.9000000000000004,0.49157531702580276,-0.5635260489375717,0.8870108331782218,0.8481384932672743,-1.0143468880876292,1.5970765466418002,-1.4693896536143114,-2.665962299677988,-0.7849726424995574,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
