tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-gordes,2021,1,1,6.0,0.0,58.958333333333336,19.7,80.4,66.92083333333333,0.0,261.3,90.68333333333334,84.0,95.3,108.08333333333333,50.2,204.4,1.075,0.4,1.8,1.2333333333333334,1.0,6.6,-0.6166666666666667,-2.700000000000001,0.9000000000000004,0.7269184341990532,-0.41310442982454176,0.9999984769132877,0.7411093644326286,-0.6609670877192668,1.3522961568046956,-0.20701215756469712,-1.7119017293312764,0.4493189986158965,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-gordes,2021,1,2,16.0,0.0,20.879166666666666,1.6,49.8,103.50833333333333,0.0,462.5,80.63333333333334,57.0,96.3,74.00416666666666,29.4,127.8,1.425,0.7,2.5,1.0,1.0,1.0,-0.7916666666666666,-4.4,0.5999999999999996,0.8406455245061611,0.49090375361514077,0.99888987496197,1.2074178162112978,0.49090375361514077,2.1928654092639723,0.21943157550170247,-1.3970951283774935,1.033954992529831,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-gordes,2021,1,3,3.0,1.0,42.708333333333336,0.0,99.4,65.36666666666666,0.0,308.2,70.39583333333333,55.9,78.8,90.05833333333334,23.0,357.9,1.0208333333333333,0.3,1.4,1.0,1.0,1.0,-0.4958333333333334,-3.0,1.0,0.6991027123032786,-0.03664370870655779,0.9874138067509115,0.7868104812928335,-0.014657483482623116,1.2962188187339925,0.3135799205576621,-0.8478517075085671,1.084899059592934,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-gordes,2021,1,4,3.0,0.0,36.69583333333333,5.6,94.5,93.95833333333333,0.0,470.3,66.28333333333333,48.6,81.1,85.91250000000001,41.2,119.5,2.1041666666666665,0.8,3.5,1.3,1.0,8.2,-0.12500000000000008,-4.300000000000001,1.5,0.9236683974002484,0.6586894601186806,1.0,1.9748897676665909,0.5269515680949445,3.1202112994777456,-0.1618556369703479,-1.7234824603621344,0.6093235391212585,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-gordes,2021,1,5,0.0,0.0,50.42916666666667,14.0,100.0,93.31666666666666,0.0,385.9,79.80416666666666,58.3,94.6,185.47083333333333,88.9,329.3,1.6458333333333333,0.4,3.2,2.8125,1.0,17.9,-0.5125000000000001,-3.8000000000000007,2.0,0.08314356715273143,-0.9857034690888535,0.9999619230641713,0.3390230895929384,-2.5181920702762803,2.945876138089331,-0.5841771359918999,-2.1976286963621363,0.427950269492509,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-gordes,2021,1,6,1.0,2.0,44.07916666666667,0.1,74.8,94.15833333333335,0.0,422.6,79.07916666666667,57.8,92.2,94.27916666666665,20.3,338.9,1.0958333333333334,0.2,1.9,1.0,1.0,1.0,-0.6916666666666668,-4.0,1.1999999999999997,0.7586584206418614,-0.3599968081200516,0.9832549075639546,0.8857036046624275,-0.14399872324802063,1.5053503223748623,0.002353122338336839,-1.474473679720185,0.5739576086292688,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-gordes,2021,1,7,3.0,0.0,59.57916666666667,2.3,84.9,89.59166666666665,0.0,423.9,74.4875,63.2,84.3,114.05,68.6,198.7,1.2416666666666667,0.5,2.8,2.379166666666667,1.0,20.5,-0.7333333333333334,-4.199999999999999,1.0,0.709581795696022,-0.32061299058567583,0.9999862922474267,0.664206244094833,-0.7952429651709826,1.3999808091463974,-0.4777345108006677,-2.6846952576309406,0.4378521412051437,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-gordes,2021,1,8,6.0,0.0,47.72083333333333,2.2,94.0,103.17916666666667,0.0,463.4,82.68333333333334,56.8,97.9,125.52499999999999,75.5,224.6,1.5,0.8,3.2,1.0,1.0,1.0,-0.8541666666666666,-4.5,0.0,0.5825663120286929,-0.702153052995162,0.9999619230641713,0.5780154114494874,-1.566023845596308,1.4881720519717168,-0.688946868400156,-2.8449709656185984,0.3004560048653298,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-gordes,2021,1,9,5.0,0.0,79.75833333333334,24.4,100.0,38.92916666666667,0.0,223.4,93.42916666666667,87.3,97.1,93.85000000000001,76.0,118.3,1.4708333333333332,0.8,2.3,1.2916666666666667,1.0,8.0,-0.13333333333333333,-2.3999999999999986,1.0,0.971584647861151,0.880477353509162,0.9999862922474267,1.419533595097521,0.7997258599804459,2.12645587730832,-0.1227781524253748,-0.9955852389989439,0.399741592274403,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-gordes,2021,1,10,3.0,2.0,64.1125,43.3,94.7,72.21249999999999,0.0,289.7,91.12916666666666,80.6,96.8,109.92083333333333,54.7,229.6,0.9375,0.2,1.6,1.5999999999999999,1.0,7.0,-0.9624999999999998,-3.6999999999999993,0.0,0.7857237060602853,-0.7615383075367369,0.9995065603657316,0.8051136081614451,-0.1523076615073474,1.3025848293701108,-0.17036546898553653,-1.3660254912092655,0.4045003370684537,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
