tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-koprubasi,2021,1,1,2.0,0.0,50.74166666666667,1.2,81.6,70.72500000000001,0.0,301.9,91.23333333333333,71.3,100.0,105.59583333333335,43.6,230.2,1.2249999999999999,0.5,2.2,1.0,1.0,1.0,-0.6999999999999998,-3.3999999999999986,0.5,0.6510502613778717,-0.768283523593523,0.9985366703262117,0.7693492325617179,-1.1524252853902845,1.3638541635706027,-0.051651523941783455,-1.9856876255696934,0.9414234198687077,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-koprubasi,2021,1,2,2.0,0.0,26.97083333333333,0.4,98.1,103.33749999999999,0.0,460.3,87.60833333333333,54.3,100.0,73.25416666666666,39.5,97.2,1.4166666666666667,1.0,1.8,1.0,1.0,1.0,-0.6124999999999999,-4.300000000000001,0.9000000000000004,0.9295041017253453,0.636078220277764,0.9991228300988584,1.3190184575638553,0.6971651028545646,1.798421094177945,0.38206373573006985,-0.21306649705931743,1.388924250097896,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-koprubasi,2021,1,3,1.0,0.0,41.7125,0.0,98.6,68.07083333333334,0.0,319.3,83.575,50.4,100.0,75.97916666666667,9.5,358.4,1.0875000000000001,0.2,1.5,1.6791666666666665,1.0,13.9,-0.3541666666666668,-2.700000000000001,1.1000000000000005,0.7885359314529605,-0.027921638723569165,0.9996101150403544,0.9461667027461002,-0.013960819361784583,1.4930942975507682,0.35900166406167494,0.03909029421299626,0.7813378226673344,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-koprubasi,2021,1,4,0.0,0.0,35.737500000000004,4.3,99.8,96.14999999999999,0.0,472.5,77.88333333333334,42.1,100.0,94.27083333333333,66.2,130.0,1.9291666666666665,1.3,3.1,1.0541666666666667,1.0,2.3,-0.09166666666666674,-3.6000000000000014,1.2000000000000002,0.9554873485069623,0.766044443118978,0.9999619230641713,1.8237476429431425,1.2306440381504054,2.7071054880924863,-0.24739529782571523,-1.864084068090964,0.7235059979807283,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-koprubasi,2021,1,5,0.0,0.0,45.50416666666666,7.4,100.0,95.60000000000001,0.0,398.3,78.34583333333333,51.2,98.5,173.5583333333333,62.5,327.7,1.4291666666666665,0.5,2.2,2.529166666666667,1.0,23.2,-0.6624999999999998,-3.8999999999999986,0.8000000000000007,0.04688430980527226,-0.9859960370705049,0.9999939076577904,0.06348962544259666,-1.9531938473000825,1.9263251335953164,-0.3604396597008254,-1.2948533850340005,1.3524189331549694,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-koprubasi,2021,1,6,1.0,1.0,45.0875,0.4,77.9,95.55833333333334,0.0,427.1,85.29583333333333,52.8,100.0,65.14166666666667,6.1,191.3,1.2125000000000001,0.3,1.8,1.0,1.0,1.0,-0.5833333333333333,-4.0,1.2000000000000002,0.742027468437203,-0.19594614424251816,0.999925369660452,0.9541493549590001,-0.11756768654551089,1.6480570948217361,0.4835093515534599,-0.5883687951279677,1.7276495255553366,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-koprubasi,2021,1,7,3.0,1.0,58.10833333333333,2.3,84.6,89.0125,0.0,402.4,84.06666666666666,60.2,100.0,88.48333333333333,24.2,359.0,1.0583333333333333,0.3,1.6,2.379166666666667,1.0,24.7,-0.875,-4.199999999999999,1.0,0.5343562013593517,-0.8804773535091617,0.996917333733128,0.6194151233148277,-1.056572824210994,1.4411687312363912,0.5527706012018904,-0.6704757463917204,1.1605989936196603,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-koprubasi,2021,1,8,3.0,0.0,44.025,2.0,92.5,104.82499999999999,0.0,459.3,83.47500000000001,53.3,100.0,118.06666666666666,42.3,214.8,1.4541666666666666,0.7,2.6,1.0,1.0,1.0,-0.8874999999999998,-4.100000000000001,0.40000000000000036,0.4703809383963322,-0.5707135676844315,0.9973144772244581,0.47415187719289625,-1.4838552759795218,1.2887067948334163,-0.5366126188538161,-2.3566037277304464,0.8135942044764707,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-koprubasi,2021,1,9,0.0,0.0,75.07916666666667,21.5,99.8,35.612500000000004,0.0,188.2,93.19583333333333,82.0,97.2,112.8125,95.4,129.7,1.3458333333333332,0.9,2.1,1.0999999999999999,1.0,3.4,-0.9124999999999998,-2.3999999999999986,-0.09999999999999964,0.9115057315625764,0.7693995550468951,0.99556196460308,1.217501702123237,0.8457233587073176,1.6902769744474198,-0.5359730648756041,-1.246179661867773,-0.10351914465036582,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-koprubasi,2021,1,10,0.0,1.0,52.80416666666667,30.1,78.1,82.25833333333334,0.0,316.2,91.9375,72.1,100.0,92.23333333333333,6.4,274.7,1.1541666666666666,0.1,1.7,1.0,1.0,1.0,-1.558333333333333,-4.900000000000002,-0.09999999999999964,0.8072390794089624,-0.9966373868180367,1.0,1.0637639399932333,-0.09966373868180367,1.694283557590662,0.06723342743939249,-0.45082083915005716,0.8732367661198874,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
