tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-02,manisa-kula,2021,1,2,13.0,0.0,14.120833333333332,0.2,42.4,111.0,0.0,474.8,72.91250000000001,48.0,89.8,119.51666666666667,54.5,154.6,1.5666666666666667,0.4,2.2,1.0,1.0,1.0,-0.25833333333333347,-4.300000000000001,1.5,0.8102516345899806,0.42893513340314593,0.997440782930944,1.2845713821643672,0.24350457160348818,2.194369722448077,-0.7444537422022274,-1.4453364685812813,0.5226326601398459,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-kula,2021,1,3,1.0,0.0,44.137499999999996,0.4,96.6,62.99166666666667,0.0,273.2,64.78750000000001,49.6,77.3,146.22916666666666,83.8,342.7,1.1666666666666667,0.1,1.8,1.0,1.0,1.0,-0.03333333333333335,-2.9000000000000004,1.7000000000000002,0.6054974955299849,-0.9547607995027975,0.9996573249755573,0.8634442806448576,-0.5670291483120576,1.7552688377500139,-0.3211805424246749,-1.2926273359737404,0.9547607995027971,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-kula,2021,1,4,8.0,1.0,37.50833333333333,1.4,95.0,103.36666666666667,0.0,481.0,62.449999999999996,43.7,81.2,124.21249999999999,93.8,155.0,2.4541666666666666,0.8,3.5,1.2291666666666667,1.0,6.5,0.2458333333333332,-3.400000000000002,1.9,0.7877771668073977,0.4226182617406995,0.99780146829205,1.8346900326861195,0.7568682870620362,2.3148737501631604,-1.4562699457363042,-3.1295398289377885,-0.09941085059999992,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-kula,2021,1,5,1.0,0.0,48.27916666666667,12.3,100.0,94.5625,0.0,427.2,73.18333333333334,55.6,92.3,171.98749999999998,84.9,284.7,2.3833333333333333,1.2,4.2,2.5166666666666666,1.0,12.0,-0.27916666666666673,-3.9000000000000004,2.0999999999999996,0.11839929957332784,-0.9672677527758768,0.9963452961909064,0.45817526599165675,-1.25744807860864,2.3058958355921546,-1.9548713977221703,-3.5103909177467343,0.32988532796024717,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-kula,2021,1,6,5.0,0.0,46.425000000000004,1.2,76.5,99.02083333333333,0.0,430.7,72.075,45.2,89.8,149.2875,115.7,183.8,1.5291666666666668,0.4,2.1,1.0,1.0,1.0,-0.09583333333333328,-4.0,2.0,0.4801077991165455,-0.06627390039999989,0.9010770213220916,0.7626289192349028,-0.10603824063999984,1.6487543614009639,-1.222043701551459,-1.9401470182737022,-0.383725589816023,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-kula,2021,1,7,5.0,0.0,73.3875,1.8,94.6,66.425,0.0,287.5,73.81666666666666,63.1,87.9,165.22916666666666,142.0,206.1,1.8583333333333334,1.4,2.6,1.7458333333333333,1.0,18.9,0.05833333333333338,-2.6999999999999993,1.5,0.2479872903024214,-0.4399391698559147,0.6156614753256584,0.4353588312981453,-0.8798783397118294,1.1697568031187509,-1.719484203276485,-2.586227324504653,-1.3172330765359155,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-kula,2021,1,8,6.0,2.0,39.541666666666664,0.3,86.5,109.39583333333333,0.0,471.3,79.90416666666667,57.1,91.6,173.07916666666665,151.9,207.4,3.045833333333333,2.0,4.5,1.0,1.0,1.0,-0.2708333333333331,-3.8999999999999986,1.4000000000000004,0.11812416880827047,-0.46019978478385154,0.47101188121940984,0.19401601616694297,-2.070899031527332,1.1818257287728529,-2.933885026438561,-4.259921670520633,-1.7883084736787362,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-kula,2021,1,9,2.0,1.0,71.84166666666667,32.6,96.7,51.49583333333334,0.0,229.7,84.27083333333333,77.0,89.9,168.03333333333333,153.9,177.0,3.4499999999999997,2.5,4.0,1.0,1.0,1.0,-0.47916666666666674,-2.1999999999999993,0.10000000000000142,0.2065372013134075,0.05233595624294381,0.4399391698559153,0.7319402801295459,0.1360734862316539,1.4517992605245205,-3.360019467909442,-3.938012719897747,-2.4919471961406177,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-kula,2021,1,10,3.0,0.0,49.2875,21.6,88.0,87.76249999999999,0.0,352.0,80.27916666666667,67.7,89.1,171.67083333333335,152.3,212.8,2.841666666666667,2.1,3.4,1.0,1.0,1.0,-0.7458333333333336,-3.0000000000000018,0.29999999999999893,0.14374893521372015,-0.5417082102827401,0.46484204572461946,0.3977983223221171,-1.4084413467351242,1.0691367051666247,-2.7222111972850613,-3.349371708926231,-2.0082399875223746,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
2021-01-11,manisa-kula,2021,1,11,3.0,0.0,45.0875,12.8,82.5,92.37916666666666,0.0,412.6,65.42083333333333,54.5,74.2,175.09166666666667,163.3,189.8,4.6125,3.0,6.3,2.2541666666666664,1.0,21.9,0.133333333333333,-2.0,1.299999999999999,0.08491187995556206,-0.1702094991660329,0.2873605198497118,0.3221043798825912,-0.9531731953297842,1.3505944432936454,-4.5567225915574685,-6.268850090755726,-2.957110407266561,0,1,11,2,0,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,0.7431448254773945,-0.6691306063588579,1.0,6.123233995736766e-17
2021-01-12,manisa-kula,2021,1,12,5.0,0.0,54.17083333333333,24.0,89.2,93.38749999999999,0.0,458.3,53.94583333333333,41.6,64.5,171.8375,155.9,184.2,4.633333333333334,3.0,5.8,15.420833333333334,1.0,84.9,0.5916666666666667,-1.8000000000000007,1.9000000000000004,0.14043437610974227,-0.07323819712763145,0.40833046038138504,0.6355820145095411,-0.35886716592539414,1.917577597003941,-4.544205962798657,-5.649060610218499,-2.9031275114459136,0,1,12,2,1,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2021-01-13,manisa-kula,2021,1,13,8.0,1.0,73.31666666666666,36.9,100.0,89.63333333333333,0.0,398.2,84.92916666666666,67.7,93.3,249.40416666666667,54.8,332.4,2.7541666666666664,0.6,4.6,23.558333333333334,1.0,94.9,0.29166666666666646,-2.5,2.5999999999999996,-0.7415907880156237,-0.9999984769132877,0.8171448983351285,-1.9378789194737809,-3.8826916619520118,1.3891463271697184,-0.6018595564873961,-4.597730177682365,3.7220550327710993,0,1,13,2,2,0.49999999999999994,0.8660254037844387,0.2219215130041655,0.9750645322571948,0.40673664307580004,-0.913545457642601,1.0,6.123233995736766e-17
2021-01-14,manisa-kula,2021,1,14,1.0,3.0,71.575,12.0,98.5,72.14583333333333,0.0,339.9,92.53750000000001,88.1,96.4,268.95416666666665,231.3,299.1,1.7375,0.6,2.8,6.283333333333332,1.0,22.4,0.7125,-2.0999999999999996,2.2,-0.9525237849243813,-0.9999939076577904,-0.7804304073383298,-1.6681695280433422,-2.799846474223434,-0.46825824440299785,0.005278742147109129,-0.9678661736830139,0.9240372228046322,0,1,14,2,3,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505,0.20791169081775931,-0.9781476007338057,1.0,6.123233995736766e-17
2021-01-15,manisa-kula,2021,1,15,2.0,1.0,59.62083333333334,0.8,100.0,58.24166666666667,0.0,292.4,84.20416666666667,74.2,99.5,187.20833333333334,6.0,322.0,1.8666666666666665,0.8,3.1,13.6,1.0,95.0,1.2125000000000001,-1.7999999999999998,3.4,0.06045205789574328,-0.9999025240093042,0.997915618272179,-0.03495889219871958,-2.98356568610482,2.195414360198794,-0.40917852382734954,-2.8977774788672046,2.126036894074866,0,1,15,2,4,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775,5.66553889764798e-16,-1.0,1.0,6.123233995736766e-17
2021-01-16,manisa-kula,2021,1,16,4.0,0.0,64.0,21.1,100.0,97.47916666666667,0.0,483.8,84.67083333333333,58.4,98.8,160.35416666666666,76.8,296.4,1.8833333333333335,0.6,3.3,12.720833333333333,1.0,94.1,1.2041666666666664,-4.800000000000001,3.6999999999999997,0.3162450267342089,-0.9892723329629883,0.9999756307053947,0.45210359158108954,-2.955848808790063,2.393554745338699,0.11636475509182298,-0.7771459614569707,1.4672960913102593,0,1,16,2,5,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486,-0.20791169081775907,-0.9781476007338057,1.0,6.123233995736766e-17
2021-01-17,manisa-kula,2021,1,17,3.0,0.0,74.57916666666667,17.1,99.9,75.03750000000001,0.0,309.2,84.52916666666667,66.8,97.8,311.62083333333334,278.5,346.2,2.345833333333333,1.4,3.2,1.0,1.0,1.0,2.2958333333333334,-0.30000000000000004,3.9000000000000004,-0.6982519257385084,-0.9890158633619168,-0.23853345757858122,-1.685070542911043,-3.164850762758134,-0.5009202609150206,1.4045775129427724,0.4729901156147551,2.1761231130368626,0,1,17,2,6,0.49999999999999994,0.8660254037844387,0.288482432880609,0.9574851883550393,-0.4067366430758002,-0.9135454576426009,1.0,6.123233995736766e-17
2021-01-18,manisa-kula,2021,1,18,4.0,0.0,31.645833333333332,0.0,100.0,126.16666666666667,0.0,550.3,68.01666666666667,39.4,89.8,98.47916666666667,0.1,357.4,1.5,0.5,2.4,1.3958333333333333,1.0,10.5,0.36666666666666653,-5.0,3.6999999999999993,0.5481286674703718,-0.33545156975025525,0.9859960370705049,0.9014161614654429,-0.33545156975025525,2.0686338794229218,0.9805245600405845,0.13891854213354435,1.8999971061352465,0,1,18,3,0,0.49999999999999994,0.8660254037844387,0.30492122465628907,0.9523775757303974,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17
