tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-saruhanli,2021,1,1,4.0,0.0,49.145833333333336,21.4,69.3,80.41250000000001,0.0,342.6,87.28750000000001,74.3,95.1,154.975,28.6,355.1,0.7958333333333334,0.2,1.6,1.2750000000000001,1.0,7.6,-1.0916666666666666,-4.0,0.0,0.23917945748940442,-0.9198214973217377,0.9563047559630355,0.23273877928656436,-0.8278393475895639,1.292494303958173,-0.13853630221774146,-1.597015677474987,1.0635946326525305,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-saruhanli,2021,1,2,4.0,2.0,29.683333333333334,5.6,64.9,94.6125,0.0,408.9,85.71666666666665,66.6,97.6,122.35000000000001,7.4,327.2,0.6458333333333334,0.2,1.3,1.0,1.0,1.0,-1.1833333333333338,-4.699999999999999,0.0,0.3836309304742427,-0.8941542368393681,0.9986295347545738,0.2478761759581473,-0.983569660523305,0.9851093261547739,0.28689394876101554,-0.2291388085903927,1.093964016528898,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-saruhanli,2021,1,3,5.0,1.0,45.762499999999996,1.2,100.0,45.60833333333333,0.0,198.8,84.30833333333332,71.3,91.6,112.425,9.1,355.0,0.6916666666666668,0.3,1.2,1.0,1.0,1.0,-0.5458333333333333,-2.299999999999999,0.0,0.5419295866065211,-0.9372819894918919,0.9995065603657316,0.3998900777534014,-0.7043473411671727,1.1868190360343,0.2666841324464351,-0.29662691431410176,0.9777832367586061,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-saruhanli,2021,1,4,9.0,2.0,41.795833333333334,3.1,92.0,85.46249999999999,0.0,414.7,76.77916666666667,54.1,94.2,99.45833333333333,14.4,221.0,1.0125,0.4,1.9,1.4416666666666667,1.0,8.0,-0.7458333333333332,-4.4,0.3000000000000007,0.6869055426331451,-0.6560590289905074,0.9999756307053947,0.7442883152421933,-0.6414496315691579,1.8999536983402499,-0.08249316154908103,-1.1178079530759355,0.5816891284920298,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-saruhanli,2021,1,5,5.0,0.0,38.0,7.8,96.3,89.8,0.0,374.3,80.15833333333333,61.8,96.5,178.0041666666667,8.6,351.8,0.9541666666666666,0.2,2.2,8.525,1.0,70.8,-1.0583333333333333,-4.699999999999999,0.1999999999999993,-0.022768326194265748,-0.9982398279237653,0.9964928592495044,0.15030555836989598,-2.0478136440416828,2.1791208191242797,-0.2489381890348543,-0.9957246981845821,0.692129466732904,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-saruhanli,2021,1,6,5.0,0.0,45.770833333333336,0.9,87.4,92.25,0.0,411.7,82.97916666666667,62.8,93.2,161.775,23.5,342.1,0.725,0.1,1.7,1.0,1.0,1.0,-1.0750000000000002,-5.1,0.0,0.2876894798326232,-0.971134279909636,0.9994502159417571,0.2183022047334965,-1.4208725143260592,1.2963406735826506,0.023227158718594723,-0.8876563433581824,0.933338790596824,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-saruhanli,2021,1,7,12.0,1.0,57.42083333333333,11.1,94.2,90.3875,0.0,380.9,79.21249999999999,60.1,89.2,161.7125,47.8,333.6,0.6041666666666666,0.0,1.5,2.25,1.0,18.1,-1.1666666666666667,-4.699999999999999,0.0,0.35760298716371614,-0.8933713883278374,0.997915618272179,0.23782375756464405,-0.6338317146841527,0.8402223838474816,-0.20882546063652666,-1.4397079379627802,0.48811613112101404,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-saruhanli,2021,1,8,8.0,0.0,39.170833333333334,7.0,82.6,108.825,0.0,460.1,77.88333333333334,53.5,87.0,140.32083333333333,5.8,261.8,1.125,0.1,3.3,1.0,1.0,1.0,-0.9833333333333335,-5.399999999999999,0.09999999999999964,0.23299315421137648,-0.9897762309077889,0.9477684100095858,0.2081159140490875,-1.155684358156242,1.2636785955107213,-0.8541827201591193,-3.091018224519712,0.5824298889469145,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-saruhanli,2021,1,9,2.0,1.0,72.41666666666667,33.2,99.4,39.0,0.0,153.1,84.6875,77.0,89.0,135.55416666666667,71.6,320.9,1.0333333333333334,0.3,1.8,1.4583333333333333,1.0,6.9,-1.0458333333333332,-3.3000000000000007,-0.29999999999999893,0.6261309515754468,-0.9996101150403544,0.9953961983671789,0.6898087160566058,-0.2998830345121063,1.241674251306474,-0.5295143720249853,-1.635770588999785,0.252519229557682,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-saruhanli,2021,1,10,3.0,1.0,43.475,8.8,69.8,84.83333333333333,0.0,369.3,83.79583333333333,65.9,91.2,135.5625,19.6,334.1,0.9083333333333333,0.3,2.0,1.0,1.0,1.0,-1.6833333333333333,-5.199999999999999,-0.40000000000000036,0.5584045566432135,-0.9998766324816606,0.999194395114446,0.6647476036149002,-0.4094703724910506,1.9263251335953164,-0.296153331227924,-0.9172905602787471,0.565234471672378,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
