tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-sehzadeler,2021,1,1,10.0,0.0,48.675000000000004,22.8,68.1,76.02916666666667,0.0,333.2,88.82083333333333,73.6,97.0,185.9416666666667,117.4,265.6,0.975,0.2,1.6,1.1291666666666667,1.0,4.1,-1.0166666666666668,-4.100000000000001,0.5,-0.09165621327434102,-0.9970527522269202,0.8878153851364013,-0.1385880567748439,-0.9707625595861378,0.9765969236500416,-0.8650682371695017,-1.5511125598322224,-0.0153438056253637,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-sehzadeler,2021,1,2,22.0,0.0,38.516666666666666,7.9,92.3,86.49166666666667,0.0,398.6,90.6875,69.1,100.0,153.02083333333334,68.9,289.2,0.7166666666666667,0.1,1.2,1.0,1.0,1.0,-1.070833333333333,-4.299999999999999,0.0,0.3343190058584584,-0.9443763702374812,0.9991228300988584,0.3063965583597407,-0.3939419095909507,1.1891798396578035,-0.3942612469944893,-1.0884783679758665,0.25199776568403587,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-sehzadeler,2021,1,3,2.0,2.0,52.4,2.4,99.9,47.4,0.0,203.6,88.13333333333333,80.6,100.0,152.07916666666668,54.1,273.6,0.6166666666666667,0.3,0.8,1.5125,1.0,8.8,-0.6583333333333332,-2.5999999999999996,0.0,0.2874548638576509,-0.9980267284282716,0.9770455744352636,0.20461607843938964,-0.598816037056963,0.7816364595482109,-0.3230234946734171,-0.7791807738232414,0.2931861783678947,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-sehzadeler,2021,1,4,3.0,0.0,40.74583333333333,6.1,68.0,77.87083333333334,0.0,417.0,83.94166666666666,66.1,100.0,147.7875,89.2,202.4,1.0791666666666666,0.4,2.1,1.1125,1.0,3.7,-0.7708333333333334,-4.300000000000001,0.09999999999999964,0.4532356254578338,-0.38107037635027446,0.9999939076577904,0.5247694757651306,-0.4572844516203293,1.5968427654852346,-0.7500156801533744,-1.8874674972282508,0.015358398373059889,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-sehzadeler,2021,1,5,7.0,0.0,36.475,5.9,79.3,82.6875,0.0,357.1,80.26666666666667,53.5,98.0,205.65,145.9,260.2,1.3833333333333335,0.4,2.4,10.329166666666667,1.0,75.6,-0.6875000000000001,-3.8000000000000007,0.5,-0.3858283301274312,-0.9854078984834901,0.5606389945632417,-0.5389712481877093,-1.963166833733253,1.0657525521414597,-1.0794674214731035,-2.0838970695595265,-0.0680837996664131,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-sehzadeler,2021,1,6,9.0,0.0,48.449999999999996,1.5,95.1,86.11666666666667,0.0,385.6,80.58333333333333,62.0,95.4,168.3125,15.2,359.0,0.6541666666666667,0.1,1.1,1.0,1.0,1.0,-0.9375,-4.000000000000002,0.0,0.042103646229129175,-0.7836934573258396,0.9948807088287882,-0.012438744313638951,-0.7473854346876682,0.8705409774982892,-0.26348080275323,-0.953586423829163,0.5999086170938347,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-sehzadeler,2021,1,7,10.0,0.0,54.3375,15.8,90.6,84.64583333333333,0.0,380.1,78.70416666666667,55.9,91.4,198.98749999999998,112.1,283.6,0.9,0.1,1.5,1.9666666666666668,1.0,22.4,-0.8708333333333332,-4.6,0.3000000000000007,-0.27382668302614577,-0.9879598657693891,0.9265286308718373,-0.323699462638104,-1.1663532006942554,0.2445562439704848,-0.7222683026786046,-1.4475247417084676,0.2821705357231082,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-sehzadeler,2021,1,8,10.0,0.0,35.63333333333333,4.1,76.5,103.85000000000001,0.0,455.2,82.175,57.1,97.0,196.85,154.2,220.3,1.6791666666666665,0.7,3.5,1.0,1.0,1.0,-0.9458333333333334,-4.300000000000001,0.0,-0.27947577969869614,-0.6467897795104596,0.43523109937232757,-0.395161314559821,-1.1337109636935236,0.43296071356138177,-1.5800118156685246,-3.355869072038676,-0.5338678307869817,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-sehzadeler,2021,1,9,5.0,0.0,65.38333333333334,16.8,98.5,52.62083333333334,0.0,200.0,85.60000000000001,74.8,90.3,178.05416666666667,149.2,217.6,1.4458333333333335,1.0,2.9,1.0,1.0,1.0,-1.0916666666666666,-3.3000000000000007,-0.29999999999999893,0.03460150698463941,-0.6101451639012675,0.5120428648705719,0.07385257891514792,-0.8542032294617744,0.7680642973058579,-1.3971492036794109,-2.896780637389713,-0.960779154157594,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-sehzadeler,2021,1,10,2.0,1.0,45.887499999999996,3.6,91.3,88.20833333333333,0.0,384.8,83.43333333333334,62.6,93.8,179.04583333333335,142.1,222.9,1.25,0.6,1.8,1.4291666666666665,1.0,8.7,-1.5249999999999997,-4.400000000000002,-0.29999999999999893,0.015520811377889564,-0.6807208689589177,0.6142852000989434,0.050328166930380135,-0.8168650427507013,0.9695814404251376,-1.1666220795747186,-1.6569087362143924,-0.5929370288679316,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
