tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-selendi,2021,1,1,1.0,0.0,41.90833333333333,4.8,94.0,65.1875,0.0,280.4,86.85416666666667,63.9,98.2,104.08749999999999,59.7,226.7,1.7125000000000001,0.6,2.5,1.0,1.0,1.0,0.037500000000000165,-2.5999999999999996,1.5,0.691947477504023,-0.7277727576572103,0.9989705697907147,1.1510642002541076,-1.8194318941430256,2.1961276214322836,-0.03620607855344787,-2.313828970161864,0.8072441981040308,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-selendi,2021,1,2,3.0,0.0,11.241666666666667,0.0,39.9,110.90833333333335,0.0,471.8,80.97916666666667,47.4,98.7,73.78333333333333,36.4,125.8,1.7041666666666666,0.5,2.5,1.0,1.0,1.0,-0.11250000000000009,-4.199999999999999,1.5999999999999996,0.8887372493320771,0.5934188866037015,0.9960410654107695,1.5346867965393,0.424946346493432,2.3894825369958252,0.4141169158580527,-0.9944280474782657,0.8549637590237222,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-selendi,2021,1,3,0.0,0.0,40.1,0.0,96.5,74.54583333333333,0.0,294.0,72.64166666666667,48.5,85.5,105.77499999999999,15.4,304.4,1.5625,0.3,2.3,1.3041666666666667,1.0,5.0,0.24583333333333326,-2.8000000000000007,1.9,0.6035534758507487,-0.9999025240093042,0.9993908270190958,1.2048507415905239,-1.0998927764102346,2.239231476608268,0.4278764001639343,0.006980962574913253,0.783011922798154,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-selendi,2021,1,4,2.0,0.0,33.233333333333334,0.1,83.3,102.47916666666667,0.0,464.2,67.61666666666666,40.0,88.1,87.07916666666667,64.1,131.7,2.466666666666667,1.7,3.4,1.325,1.0,5.2,0.3666666666666667,-3.1999999999999993,2.0,0.9362028021175725,0.7466381822853917,0.9989705697907147,2.300323736735676,1.5671673577004508,2.855674757253736,-0.00753407954834024,-2.2617832058248255,0.7862432190618642,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-selendi,2021,1,5,4.0,0.0,58.23333333333333,19.8,100.0,88.35833333333333,0.0,396.1,77.62916666666666,55.2,94.3,117.0125,37.0,213.0,2.0625,0.8,3.8,2.0208333333333335,1.0,19.4,-0.17083333333333336,-3.4000000000000004,1.8999999999999995,0.6401314400430839,-0.5446390350150271,0.9999025240093042,1.3128428369256238,-1.307133684036065,3.6300577760649055,-0.6781484135296862,-3.3788109251460274,0.6757137201088376,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-selendi,2021,1,6,1.0,1.0,47.137499999999996,0.0,89.5,96.39999999999999,0.0,428.4,81.25,49.3,98.1,84.16250000000001,59.0,147.0,1.6041666666666667,0.5,2.0,1.0,1.0,1.0,0.04166666666666672,-4.0,1.7000000000000002,0.9208142096036546,0.5446390350150269,0.9995065603657316,1.489651144586663,0.46710223716051474,1.8781885041894182,0.22013131332009853,-0.9225376247399667,0.9108607754180947,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-selendi,2021,1,7,2.0,1.0,68.22500000000001,0.8,94.6,62.362500000000004,0.0,299.1,79.80833333333334,63.0,90.7,105.58333333333333,63.9,210.5,1.7166666666666668,1.0,2.8,3.1374999999999997,1.0,28.4,0.12916666666666674,-2.6999999999999993,1.8000000000000003,0.7039232864052901,-0.5075383629607039,0.99888987496197,1.1892807388262598,-1.4211074162899708,2.2882256303062127,-0.09815510291136076,-2.4125616492362725,0.7478965887550559,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-selendi,2021,1,8,3.0,0.0,46.1625,3.9,78.5,100.19166666666666,0.0,447.6,79.45,55.0,91.9,122.42916666666667,78.6,216.7,2.1041666666666665,1.4,3.7,1.0,1.0,1.0,-0.3750000000000002,-3.3000000000000007,1.0999999999999996,0.6299822108309132,-0.597625146975521,0.9999451693655121,1.0019479441035621,-2.211213043809428,2.4945036707301247,-0.886031226008818,-3.301279302816604,0.27672027653077674,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-selendi,2021,1,9,1.0,0.0,77.42083333333333,25.7,100.0,35.40416666666666,0.0,135.8,87.52083333333333,74.8,93.9,93.49166666666667,73.8,114.6,2.2125,1.4,3.1,1.0,1.0,1.0,-0.2916666666666666,-1.3000000000000007,1.6000000000000005,0.9713041800766745,0.9092361090470686,0.9952273999818312,2.1431917103876006,1.3873764796007708,2.9346127063586587,-0.1275260348961506,-1.0407019806510025,0.8090742075137649,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-selendi,2021,1,10,3.0,0.0,57.4625,37.9,85.6,84.22916666666667,0.0,358.1,86.77499999999999,68.2,94.1,108.77083333333333,70.6,249.9,1.7375,0.8,2.2,1.1791666666666667,1.0,3.5,-1.0999999999999996,-3.9000000000000004,0.0,0.7205834368866372,-0.939094252094709,0.999194395114446,1.3387735553865932,-1.6903696537704762,2.1550655491185573,-0.038888116297504736,-1.1961346541474964,0.6311061505790364,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
