tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-turgutlu,2021,1,1,4.0,0.0,45.26666666666667,9.2,67.8,75.325,0.0,330.5,79.6,69.4,92.2,183.15833333333333,153.1,212.6,1.875,0.7,3.6,1.1416666666666666,1.0,3.1,-0.7208333333333337,-2.8000000000000007,0.09999999999999964,-0.053261887653287286,-0.5387707850068627,0.4524347093117829,-0.21103939932881333,-1.8856977475240195,0.9048694186235658,-1.7835368989392493,-3.3631361075557065,-0.6817831770953361,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-turgutlu,2021,1,2,17.0,0.0,29.116666666666664,3.1,51.1,99.03750000000001,0.0,421.7,80.2375,61.2,93.9,183.07916666666665,4.8,357.1,0.7916666666666666,0.1,2.0,1.0,1.0,1.0,-0.9749999999999998,-4.0,0.09999999999999964,-0.13924385530646122,-0.95579301479833,0.4756242090702752,0.00323602812492615,-0.43101662800549073,0.5707490508843303,0.2601245534022452,-0.8979158509520447,1.9645745014573774,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-turgutlu,2021,1,3,7.0,2.0,46.762499999999996,0.0,100.0,49.645833333333336,0.0,251.6,78.37083333333334,62.1,87.5,179.6291666666667,0.5,355.5,0.48333333333333334,0.0,1.1,1.0,1.0,1.0,-0.6458333333333334,-2.4000000000000004,0.0,-0.07798759781469287,-0.983571470813386,0.9762960071199334,0.006498792713882646,-0.3535178144120051,0.273616114660535,0.07515442874114522,-0.4883361391670839,1.0966090671064408,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-turgutlu,2021,1,4,6.0,1.0,38.5375,0.4,96.4,87.47083333333335,0.0,424.3,67.95416666666667,50.4,84.9,148.20000000000002,18.0,351.5,0.9291666666666667,0.1,2.3,1.1666666666666667,1.0,5.0,-0.6083333333333335,-3.9000000000000004,0.5,0.20985221902729043,-0.9477684100095856,0.9964928592495044,0.4220736975810235,-0.5888776696957871,2.017532163647273,-0.0054128392203660475,-1.904538769631737,1.3846222087066833,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-turgutlu,2021,1,5,4.0,0.0,36.59583333333333,8.1,99.7,88.325,0.0,363.3,74.34583333333333,49.9,89.9,164.34583333333333,35.7,229.2,2.0375,0.6,3.7,7.8125,1.0,61.5,-0.4833333333333332,-2.799999999999999,1.0999999999999996,0.07777497918191788,-0.7569950556517562,0.985996037070505,-0.05456557262595823,-2.332863645873084,1.9234826190984227,-1.4486653399620195,-2.9627060725103145,1.0070757204741116,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-turgutlu,2021,1,6,7.0,0.0,45.23333333333333,1.9,80.7,97.19166666666666,0.0,412.4,78.7375,56.3,89.2,155.08333333333334,10.6,357.2,1.0583333333333333,0.2,2.0,1.0,1.0,1.0,-0.8041666666666666,-3.8000000000000007,0.8000000000000007,0.2764229579442367,-0.7169106076504829,0.9003187714021935,0.39153328945922694,-0.21507318229514485,1.800637542804387,-0.3072911787812293,-1.6826195925432412,1.163846418341696,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-turgutlu,2021,1,7,19.0,1.0,57.770833333333336,5.6,96.4,90.41250000000001,0.0,373.5,73.34583333333333,51.1,87.6,165.375,69.7,253.7,1.4749999999999999,0.3,3.3,1.2249999999999999,1.0,6.4,-0.6291666666666663,-3.5,0.09999999999999964,0.1667495967225229,-0.9598052919751868,0.9993908270190958,0.0217078590532743,-1.564491089855483,1.1701792251666758,-1.1396968764405886,-2.905575266580235,0.2775485212586047,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-turgutlu,2021,1,8,15.0,1.0,33.233333333333334,3.1,71.6,106.40416666666665,0.0,438.9,73.05833333333332,53.4,88.8,182.57083333333333,143.1,206.6,2.625,1.0,5.2,1.0,1.0,1.0,-0.525,-2.6999999999999993,0.5,-0.045944607961367234,-0.44775908783876955,0.600420225325884,-0.3961132741003505,-2.05969180405834,0.7288718515736249,-2.4975151131590176,-4.841490242485148,-0.8796531243357996,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-turgutlu,2021,1,9,7.0,1.0,61.32083333333333,12.9,97.3,55.583333333333336,0.0,249.8,74.66666666666667,69.5,82.0,172.85,138.5,210.0,2.0083333333333333,1.3,2.9,1.0,1.0,1.0,-0.5875000000000005,-3.0,0.3000000000000007,0.12122501261284037,-0.5000000000000001,0.6626200482157374,0.22888372019991465,-1.1000000000000003,0.9304495007307774,-1.9380101561169623,-2.8717773993505538,-0.9736424370257029,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-turgutlu,2021,1,10,5.0,1.0,41.858333333333334,3.4,75.9,88.87083333333334,0.0,381.6,74.52499999999999,58.0,86.9,154.72916666666666,78.3,203.9,2.004166666666667,0.7,3.4,1.0666666666666667,1.0,2.6,-0.8833333333333332,-2.6999999999999993,0.6000000000000014,0.3490601899659897,-0.40514158677986223,0.9792228106217657,0.5270080368760427,-1.3774813950515314,1.6480570948217361,-1.6221184032956935,-3.1590507432157917,0.28390221349911776,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
