tarih,ilce,year,month,day,bildirimsiz_sum,bildirimli_sum,effective_cloud_cover:p_mean,effective_cloud_cover:p_min,effective_cloud_cover:p_max,global_rad:W_mean,global_rad:W_min,global_rad:W_max,relative_humidity_2m:p_mean,relative_humidity_2m:p_min,relative_humidity_2m:p_max,wind_dir_10m:d_mean,wind_dir_10m:d_min,wind_dir_10m:d_max,wind_speed_10m:ms_mean,wind_speed_10m:ms_min,wind_speed_10m:ms_max,prob_precip_1h:p_mean,prob_precip_1h:p_min,prob_precip_1h:p_max,temp_diff_mean,temp_diff_min,temp_diff_max,sin_direction_mean,sin_direction_min,sin_direction_max,WindSpeed_sin_component_mean,WindSpeed_sin_component_min,WindSpeed_sin_component_max,WindSpeed_cos_component_mean,WindSpeed_cos_component_min,WindSpeed_cos_component_max,Tatil Adı,quarter,dayofyear,weekofyear,dayofweek,sin_month,cos_month,sin_dayofyear,cos_dayofyear,sin_dayofmonth,cos_dayofmonth,sin_quarter,cos_quarter
2021-01-01,manisa-yunusemre,2021,1,1,7.0,3.0,49.05416666666667,23.2,69.5,75.85416666666667,0.0,333.6,89.08749999999999,73.9,97.4,186.4,112.9,279.8,0.9500000000000001,0.1,1.6,1.1458333333333333,1.0,4.5,-1.0374999999999999,-4.199999999999999,0.5,-0.09175743913325891,-0.9854078984834902,0.9211854055657213,-0.13517750008516669,-1.017204539359366,1.0133039461222935,-0.8295542995048405,-1.546201726914127,0.01702094991660324,1,1,1,53,4,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.20791169081775931,0.9781476007338057,1.0,6.123233995736766e-17
2021-01-02,manisa-yunusemre,2021,1,2,29.0,2.0,37.775,8.1,90.9,86.40416666666668,0.0,398.1,90.93333333333334,69.4,100.0,150.52083333333334,68.4,324.8,0.7458333333333332,0.0,1.2,1.0,1.0,1.0,-1.0708333333333333,-4.300000000000001,0.0,0.40589261945727517,-0.5764323161697927,0.9996101150403544,0.3754167403251125,-0.35184164840470156,1.1897338336485723,-0.3934230997284534,-1.0966090671064408,0.2944996421477423,0,1,2,53,5,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17
2021-01-03,manisa-yunusemre,2021,1,3,10.0,1.0,52.68333333333334,2.5,99.9,47.29583333333333,0.0,202.4,88.19166666666666,80.6,100.0,149.4,59.0,270.4,0.6583333333333333,0.4,0.9,1.4625000000000001,1.0,7.6,-0.6750000000000002,-2.6000000000000014,0.0,0.34357816321688234,-0.9999756307053947,0.9731788727770883,0.2632041460063905,-0.5999853784232368,0.8758609854993794,-0.34641657397203524,-0.8441000411507078,0.30902284494603255,0,1,3,53,6,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0.5877852522924731,0.8090169943749475,1.0,6.123233995736766e-17
2021-01-04,manisa-yunusemre,2021,1,4,11.0,0.0,40.237500000000004,4.9,67.9,77.825,0.0,416.7,84.10833333333333,66.7,100.0,144.85833333333332,88.8,205.0,1.0875000000000001,0.4,2.1,1.1208333333333333,1.0,3.9,-0.8041666666666667,-4.399999999999999,0.09999999999999964,0.49567046226929046,-0.4226182617406993,0.9998476951563913,0.5760894247254548,-0.46488008791476926,1.599756312250226,-0.7214989524490335,-1.796055151521231,0.027923850299653403,0,1,4,1,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,0.7431448254773941,0.6691306063588582,1.0,6.123233995736766e-17
2021-01-05,manisa-yunusemre,2021,1,5,8.0,0.0,36.104166666666664,5.8,78.6,82.77083333333333,0.0,357.8,80.75,54.0,98.5,208.20000000000002,148.8,260.8,1.4166666666666667,0.5,2.5,10.254166666666668,1.0,74.9,-0.6999999999999998,-3.799999999999999,0.5,-0.42387676414648046,-0.9871362650729879,0.5180270093731302,-0.6057290005333028,-2.046336394449822,0.9842513178089473,-1.0894762170605587,-2.0873180064558774,-0.07994059384591741,0,1,5,1,1,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-01-06,manisa-yunusemre,2021,1,6,15.0,0.0,48.60833333333333,1.5,95.4,85.97083333333335,0.0,385.4,80.50416666666668,62.1,95.5,151.07500000000002,2.0,233.5,0.6583333333333333,0.1,1.1,1.0,1.0,1.0,-0.9541666666666666,-4.100000000000001,0.0,0.08325210826815967,-0.8038568606172171,0.9967788784562471,0.001729128323003137,-0.7737341730915538,0.8615875477788606,-0.26267793764644215,-0.9487650361279835,0.5996344962114575,0,1,6,1,2,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,0.9510565162951535,0.30901699437494745,1.0,6.123233995736766e-17
2021-01-07,manisa-yunusemre,2021,1,7,17.0,0.0,54.17916666666667,16.5,90.0,88.15833333333335,0.0,379.9,78.77499999999999,56.4,91.6,200.59166666666667,118.5,283.4,0.9125,0.1,1.6,2.0083333333333333,1.0,23.1,-0.9458333333333334,-4.5,0.0,-0.2973280921042542,-0.9857034690888535,0.8788171126619654,-0.3500621059170406,-1.167331053851276,0.28016590500757405,-0.7260936474979268,-1.5155364443936463,0.27809748419298813,0,1,7,1,3,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.9945218953682733,0.10452846326765346,1.0,6.123233995736766e-17
2021-01-08,manisa-yunusemre,2021,1,8,34.0,0.0,35.75,4.2,76.9,108.75,0.0,455.2,82.38333333333334,57.4,97.4,197.70833333333334,153.5,221.0,1.6708333333333334,0.8,3.6,1.0,1.0,1.0,-1.0166666666666664,-4.199999999999999,0.0,-0.29350512047871974,-0.6560590289905074,0.446197813109809,-0.42333399804786676,-1.1957800747813307,0.47046452037168596,-1.562528842882564,-3.395601568611364,-0.6037676641782176,0,1,8,1,4,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,0.9945218953682734,-0.10452846326765333,1.0,6.123233995736766e-17
2021-01-09,manisa-yunusemre,2021,1,9,6.0,1.0,65.69166666666666,17.1,98.4,53.125,0.0,198.8,86.25,75.3,91.3,179.30416666666667,149.4,218.1,1.4208333333333334,0.9,2.8,1.0,1.0,1.0,-1.1541666666666668,-3.3000000000000007,-0.3000000000000007,0.013519190827912133,-0.6170358751407481,0.5090414157503714,0.043210932591223605,-0.9255538127111221,0.71265798205052,-1.3678599848992041,-2.796414200115721,-0.8668463101178923,0,1,9,1,5,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,0.9510565162951536,-0.30901699437494734,1.0,6.123233995736766e-17
2021-01-10,manisa-yunusemre,2021,1,10,5.0,1.0,46.15,3.7,91.8,90.97500000000001,0.0,384.6,83.94583333333334,62.8,94.4,180.525,140.5,222.9,1.25,0.6,1.7,1.4875,1.0,9.3,-1.5958333333333339,-4.399999999999999,-0.40000000000000036,-0.010149459660545576,-0.6807208689589177,0.6360782202777642,0.020184947016820085,-0.884937129646593,0.9894534325720866,-1.1611086735803495,-1.647326743391678,-0.5956544051576673,0,1,10,1,6,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
